FN,FP,TN,TP,sr,t
0.0,58.0,0.0,2246.0,1,6773.4578571428565
0.0,116.0,0.0,2188.0,1,6979.7807142857155
0.0,173.0,0.0,2131.0,1,7264.4617857142875
414.6,184.8,46.2,1658.4,1,7395.054999999998
0.0,289.0,0.0,2015.0,1,7596.398214285714
0.0,346.0,0.0,1958.0,1,7815.8617857142835
380.0,323.2,80.8,1520.0,1,7937.0025
368.6,368.8,92.2,1474.4,1,8447.814285714283
0.0,519.0,0.0,1785.0,1,8802.333928571428
690.8,346.2,230.8,1036.2,1,8938.154642857144
0.0,634.0,0.0,1670.0,1,9179.054642857143
483.6,484.4,207.6,1128.4,1,9560.767142857143
466.5,524.3,224.7,1088.5,1,9629.681785714289
299.4,645.6,161.4,1197.6,1,9697.493214285714
575.6,519.0,346.0,863.4,1,9817.643928571428
552.8,553.2,368.8,829.2,1,9896.94214285714
662.0,490.0,490.0,662.0,1,9985.245714285717
760.2,414.8,622.2,506.8,1,10049.314285714288
362.7,766.5,328.5,846.3,1,10175.52607142857
575.5,576.5,576.5,575.5,1,10259.974999999997
547.0,605.0,605.0,547.0,1,10379.507142857143
310.8,887.6,380.4,725.2,1,10457.592857142856
685.3,397.5,927.5,293.7,1,10546.846428571429
828.9,138.3,1244.7,92.1,1,10607.560714285712
517.8,576.4,864.6,345.2,1,10674.835714285711
483.6,599.2,898.8,322.4,1,10788.810714285712
522.9,467.1,1089.9,224.1,1,10851.35357142857
483.7,483.9,1129.1,207.3,1,10970.621428571429
379.8,668.4,1002.6,253.2,1,11234.271428571428
345.0,691.6,1037.4,230.0,1,11315.592857142856
466.2,178.6,1607.4,51.8,1,11592.964285714279
322.0,553.2,1290.8,138.0,1,11656.392857142857
322.4,380.2,1520.8,80.6,1,11821.678571428567
345.0,0.0,1959.0,0.0,1,12473.907142857144
258.3,201.7,1815.3,28.7,1,13082.996428571429
230.0,0.0,2074.0,0.0,1,13508.696428571431
154.8,213.2,1918.8,17.2,1,14499.135714285716
115.0,0.0,2189.0,0.0,1,15826.046428571422
57.0,0.0,2247.0,0.0,1,19289.51785714286
151.5,31.1,26.9,2094.5,24,6773.4578571428565
45.3,105.7,10.3,2142.7,24,6979.7807142857155
191.2,116.2,56.8,1939.8,24,7264.4617857142875
243.5,120.1,110.9,1829.5,24,7395.054999999998
230.0,174.6,114.4,1785.0,24,7596.398214285714
223.9,196.7,149.3,1734.1,24,7815.8617857142835
371.0,179.4,224.6,1529.0,24,7937.0025
234.1,218.1,242.9,1608.9,24,8447.814285714283
316.0,272.2,246.8,1469.0,24,8802.333928571428
317.1,249.5,327.5,1409.9,24,8938.154642857144
251.9,281.5,352.5,1418.1,24,9179.054642857143
334.4,219.2,472.8,1277.6,24,9560.767142857143
464.6,233.0,516.0,1090.4,24,9629.681785714289
510.2,216.4,590.6,986.8,24,9697.493214285714
356.6,244.0,621.0,1082.4,24,9817.643928571428
