FN,FP,TN,TP,sr,t
0.0,114.0,0.0,4439.0,1,13.161712663408801
0.0,228.0,0.0,4325.0,1,13.3019009572118
0.0,342.0,0.0,4211.0,1,13.4100699787362
0.0,456.0,0.0,4097.0,1,13.502753092236302
0.0,570.0,0.0,3983.0,1,13.585310859993301
1548.0,409.8,273.2,2322.0,1,13.656660305674
375.6,717.3,79.7,3380.4,1,13.735652724356198
1092.6,637.7,273.3,2549.4,1,13.803859817649501
0.0,1025.0,0.0,3528.0,1,13.868760774471701
682.8,911.2,227.8,2731.2,1,13.9298584757918
1320.0,751.8,501.2,1980.0,1,13.9793948030038
1274.8,819.6,546.4,1912.2,1,14.032251164870901
614.6,1184.0,296.0,2458.4,1,14.087353831559
591.8,1275.2,318.8,2367.2,1,14.1357554046641
1138.0,1024.8,683.2,1707.0,1,14.181506849053
546.2,1457.6,364.4,2184.8,1,14.233252060704999
785.1,1355.2,580.8,1831.9,1,14.2883841314639
1001.6,1229.4,819.6,1502.4,1,14.3370638554921
1673.0,648.9,1514.1,717.0,1,14.3946865425751
1365.6,910.8,1366.2,910.4,1,14.440960814602402
864.8,1434.6,956.4,1297.2,1,14.4851959908869
1024.0,1252.5,1252.5,1024.0,1,14.5248682442103
580.5,1832.6,785.4,1354.5,1,14.582000293012
728.4,1639.2,1092.8,1092.6,1,14.6307274187917
853.5,1423.0,1423.0,853.5,1,14.6787817819126
796.5,1480.0,1480.0,796.5,1,14.745784301286301
739.5,1537.0,1537.0,739.5,1,14.807564681287
546.0,1912.8,1275.2,819.0,1,14.8784780444677
626.0,1650.5,1650.5,626.0,1,14.962337800647099
1024.2,341.5,3073.5,113.8,1,15.0421285922947
1024.0,0.0,3529.0,0.0,1,15.131159980365801
455.0,1821.5,1821.5,455.0,1,15.222434323308498
636.8,751.4,3005.6,159.2,1,15.306174550999
613.8,387.1,3483.9,68.2,1,15.402332552061699
455.2,796.8,3187.2,113.8,1,15.5099957880809
455.0,0.0,4098.0,0.0,1,15.637958571596501
306.9,421.2,3790.8,34.1,1,15.788930159674802
227.0,0.0,4326.0,0.0,1,15.957013968601599
113.0,0.0,4440.0,0.0,1,16.1266534040717
129.5,97.9,16.1,4309.5,46,13.161712663408801
243.6,199.8,28.2,4081.4,46,13.3019009572118
224.5,304.8,37.2,3986.5,46,13.4100699787362
330.8,394.3,61.7,3766.2,46,13.502753092236302
552.3,466.3,103.7,3430.7,46,13.585310859993301
705.0,528.5,154.5,3165.0,46,13.656660305674
791.6,604.2,192.8,2964.4,46,13.735652724356198
678.1,711.0,200.0,2963.9,46,13.803859817649501
685.3,739.3,285.7,2842.7,46,13.868760774471701
846.4,768.1,370.9,2567.6,46,13.9298584757918
960.9,767.0,486.0,2339.1,46,13.9793948030038
810.1,878.4,487.6,2376.9,46,14.032251164870901
897.5,883.7,596.3,2175.5,46,14.087353831559
982.9,910.7,683.3,1976.1,46,14.1357554046641
922.6,957.0,751.0,1922.4,46,14.181506849053
1100.2,916.7,905.3,1630.8,46,14.233252060704999
928.3,1091.0,845.0,1688.7,46,14.2883841314639
1009.9,957.3,1091.7,1494.1,46,14.3370638554921
1000.7,1040.1,1122.9,1389.3,46,14.3946865425751
1141.8,909.8,1367.2,1134.2,46,14.440960814602402
1015.4,975.2,1415.8,1146.6,46,14.4851959908869
1024.8,955.0,1550.0,1023.2,46,14.5248682442103
1007.9,922.4,1695.6,927.1,46,14.582000293012
