FN,FP,TN,TP,sr,t
14.7,40.5,4.5,132.3,1,1020
5.5,40.9,4.1,141.5,2,1020
35.3,32.3,12.7,111.7,3,1020
42.8,25.4,19.6,104.2,4,1020
30.2,25.6,19.4,116.8,5,1020
25.4,28.0,17.0,121.6,6,1020
42.0,23.0,22.0,105.0,7,1020
35.2,19.4,25.6,111.8,8,1020
33.6,18.6,26.4,113.4,9,1020
33.3,13.5,31.5,113.7,10,1020
25.3,23.5,21.5,121.7,11,1020
23.0,21.6,23.4,124.0,12,1020
18.9,19.5,25.5,128.1,13,1020
21.5,15.3,29.7,125.5,14,1020
17.3,17.5,27.5,129.7,15,1020
17.7,19.1,25.9,129.3,16,1020
16.4,13.8,31.2,130.6,17,1020
15.7,13.9,31.1,131.3,18,1020
16.8,12.6,32.4,130.2,19,1020
18.4,9.6,35.4,128.6,20,1020
11.9,13.7,31.3,135.1,21,1020
17.2,14.2,30.8,129.8,22,1020
11.5,12.9,32.1,135.5,23,1020
13.2,13.0,32.0,133.8,24,1020
9.7,10.3,34.7,137.3,25,1020
15.2,10.4,34.6,131.8,26,1020
12.5,14.3,30.7,134.5,27,1020
12.4,11.1,33.9,134.6,28,1020
11.4,11.8,33.2,135.6,29,1020
12.8,12.2,32.8,134.2,30,1020
10.8,16.5,28.5,136.2,31,1020
11.9,13.5,31.5,135.1,32,1020
12.0,10.6,34.4,135.0,33,1020
14.4,11.5,33.5,132.6,34,1020
14.1,10.1,34.9,132.9,35,1020
17.9,10.3,34.7,129.1,36,1020
7.3,11.7,33.3,139.7,37,1020
11.3,12.0,33.0,135.7,38,1020
18.1,9.1,35.9,128.9,39,1020
9.1,9.9,35.1,137.9,40,1020
8.1,8.6,36.4,138.9,41,1020
11.3,9.7,35.3,135.7,42,1020
10.4,8.4,36.6,136.6,43,1020
12.8,9.6,35.4,134.2,44,1020
9.0,9.4,35.6,138.0,45,1020
15.8,8.4,36.6,131.2,46,1020
11.5,8.1,36.9,135.5,47,1020
