FN,FP,TN,TP,sr,t
462.0,0.0,3665.0,0.0,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
323.4,1099.5,2565.5,138.6,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
462.0,0.0,3665.0,0.0,1,0.0
369.6,733.0,2932.0,92.4,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
462.0,0.0,3665.0,0.0,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
462.0,0.0,3665.0,0.0,1,0.0
369.6,733.0,2932.0,92.4,1,0.0
369.6,733.0,2932.0,92.4,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
323.4,1099.5,2565.5,138.6,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
462.0,0.0,3665.0,0.0,1,0.0
462.0,0.0,3665.0,0.0,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
323.4,1099.5,2565.5,138.6,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
369.6,733.0,2932.0,92.4,1,0.0
369.6,733.0,2932.0,92.4,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
462.0,0.0,3665.0,0.0,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
462.0,0.0,3665.0,0.0,1,0.0
462.0,0.0,3665.0,0.0,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
369.6,733.0,2932.0,92.4,1,0.0
415.8,366.5,3298.5,46.2,1,0.0
462.0,0.0,3665.0,0.0,1,0.0
369.6,733.0,2932.0,92.4,1,0.0
354.6,373.3,3359.7,39.4,1,0.2
292.0,0.0,3835.0,0.0,1,0.7
168.0,0.0,3959.0,0.0,1,0.9
0.0,0.0,4127.0,0.0,1,1.0
198.1,60.4,3604.6,263.9,42,0.0
185.5,214.2,3450.8,276.5,42,0.0
114.6,62.3,3602.7,347.4,42,0.0
123.4,9.4,3655.6,338.6,42,0.0
137.7,95.5,3569.5,324.3,42,0.0
134.5,82.7,3582.3,327.5,42,0.0
143.3,58.4,3606.6,318.7,42,0.0
198.8,28.4,3636.6,263.2,42,0.0
144.6,112.5,3552.5,317.4,42,0.0
175.6,97.1,3567.9,286.4,42,0.0
207.5,123.3,3541.7,254.5,42,0.0
144.9,65.6,3599.4,317.1,42,0.0
238.5,81.9,3583.1,223.5,42,0.0
160.1,22.1,3642.9,301.9,42,0.0
134.8,119.1,3545.9,327.2,42,0.0
161.1,32.7,3632.3,300.9,42,0.0
217.2,17.7,3647.3,244.8,42,0.0
232.1,66.7,3598.3,229.9,42,0.0
188.0,139.1,3525.9,274.0,42,0.0
156.6,63.9,3601.1,305.4,42,0.0
140.0,53.3,3611.7,322.0,42,0.0
141.9,66.5,3598.5,320.1,42,0.0
100.8,13.2,3651.8,361.2,42,0.0
258.2,25.2,3639.8,203.8,42,0.0
138.4,40.7,3624.3,323.6,42,0.0
163.2,105.2,3559.8,298.8,42,0.0
176.9,130.8,3534.2,285.1,42,0.0
99.4,77.1,3587.9,362.6,42,0.0
179.8,47.5,3617.5,282.2,42,0.0
174.4,67.1,3597.9,287.6,42,0.0
140.1,55.7,3609.3,321.9,42,0.0
186.0,119.0,3546.0,276.0,42,0.0
121.1,49.5,3615.5,340.9,42,0.0
145.2,77.7,3587.3,316.8,42,0.0
199.4,133.8,3531.2,262.6,42,0.0
70.2,22.0,3711.0,323.8,42,0.2
126.9,36.6,3798.4,165.1,42,0.7
119.5,56.4,3902.6,48.5,42,0.9
0.0,0.0,4127.0,0.0,42,1.0
123.7,45.1,3619.9,338.3,83,0.0
100.7,87.6,3577.4,361.3,83,0.0
90.5,59.8,3605.2,371.5,83,0.0
81.3,83.9,3581.1,380.7,83,0.0
94.5,45.1,3619.9,367.5,83,0.0
99.5,31.1,3633.9,362.5,83,0.0
96.1,95.9,3569.1,365.9,83,0.0
94.1,80.6,3584.4,367.9,83,0.0
92.0,126.5,3538.5,370.0,83,0.0
92.9,65.5,3599.5,369.1,83,0.0
108.6,100.2,3564.8,353.4,83,0.0
124.4,29.2,3635.8,337.6,83,0.0
92.7,36.6,3628.4,369.3,83,0.0
94.3,94.9,3570.1,367.7,83,0.0
99.0,56.6,3608.4,363.0,83,0.0
100.3,33.7,3631.3,361.7,83,0.0
131.0,37.3,3627.7,331.0,83,0.0
119.7,69.0,3596.0,342.3,83,0.0
111.2,47.4,3617.6,350.8,83,0.0
98.6,66.8,3598.2,363.4,83,0.0
116.9,81.4,3583.6,345.1,83,0.0
94.5,81.9,3583.1,367.5,83,0.0
94.6,98.0,3567.0,367.4,83,0.0
100.4,59.3,3605.7,361.6,83,0.0
101.4,25.8,3639.2,360.6,83,0.0
96.2,82.2,3582.8,365.8,83,0.0
118.7,31.1,3633.9,343.3,83,0.0
96.9,84.9,3580.1,365.1,83,0.0
97.5,55.0,3610.0,364.5,83,0.0
112.0,120.1,3544.9,350.0,83,0.0
87.0,73.5,3591.5,375.0,83,0.0
96.3,51.5,3613.5,365.7,83,0.0
