TN,FN,TP,FP,sr
54246.6564102564,26671.997435897432,56709.23333333332,29347.112820512823,1
80760.45128205128,4004.264102564103,79376.96666666667,2833.3179487179486,1670
81281.01025641027,3371.8769230769235,80009.35384615381,2312.7589743589747,3339
81520.8358974359,3015.851282051282,80365.37948717948,2072.9333333333334,5008
81650.11025641025,2810.420512820512,80570.81025641023,1943.6589743589745,6677
81771.62820512822,2691.1307692307687,80690.09999999999,1822.1410256410252,8346
81866.40512820514,2611.1128205128202,80770.11794871796,1727.3641025641025,10015
81932.1358974359,2532.105128205129,80849.12564102565,1661.6333333333337,11684
81966.65384615386,2470.0641025641025,80911.16666666667,1627.1153846153845,13353
82005.88461538462,2418.3871794871798,80962.84358974358,1587.8846153846155,15022
82049.33846153847,2374.848717948718,81006.38205128207,1544.4307692307693,16691
82093.74615384614,2330.492307692308,81050.73846153845,1500.023076923077,18360
82132.1358974359,2298.2589743589742,81082.9717948718,1461.6333333333332,20029
82151.1717948718,2273.510256410256,81107.72051282051,1442.5974358974358,21698
82180.31794871796,2226.3025641025642,81154.92820512819,1413.4512820512823,23367
82196.4205128205,2197.8871794871798,81183.34358974357,1397.3487179487179,25036
82222.89487179488,2174.1615384615384,81207.06923076921,1370.8743589743592,26705
82231.98461538462,2145.4820512820515,81235.7487179487,1361.784615384615,28374
82261.65128205129,2129.2230769230773,81252.0076923077,1332.117948717949,30043
82272.77692307693,2104.9999999999995,81276.23076923075,1320.9923076923076,31712
82301.96153846153,2090.3282051282054,81290.90256410257,1291.8076923076926,33381
82305.39230769231,2064.1000000000004,81317.13076923075,1288.376923076923,35050
82325.9282051282,2044.392307692307,81336.83846153844,1267.8410256410255,36719
82343.38205128205,2029.8923076923074,81351.33846153847,1250.3871794871798,38388
82358.60512820512,2010.4948717948714,81370.73589743592,1235.1641025641027,40057
82370.35384615387,1994.7333333333327,81386.49743589744,1223.4153846153847,41726
82383.36923076924,1971.6025641025644,81409.62820512819,1210.3999999999999,43395
82395.96666666667,1959.9282051282046,81421.30256410259,1197.8025641025636,45064
82405.78717948718,1938.7282051282043,81442.50256410256,1187.9820512820515,46733
82419.6641025641,1932.0692307692311,81449.16153846154,1174.105128205128,48402
82431.5871794872,1920.9153846153843,81460.31538461537,1162.1820512820511,50071
82447.01025641027,1911.3641025641025,81469.8666666667,1146.7589743589742,51740
82456.72307692307,1890.876923076923,81490.35384615383,1137.0461538461539,53409
82470.26153846155,1873.1948717948712,81508.03589743587,1123.5076923076922,55078
82482.60256410256,1866.2692307692307,81514.96153846153,1111.1666666666663,56747
82482.83333333333,1841.007692307692,81540.22307692307,1110.9358974358972,58416
82495.47435897436,1836.8384615384614,81544.39230769231,1098.2948717948716,60085
82501.11282051279,1810.6846153846157,81570.54615384614,1092.6564102564096,61754
82513.76153846156,1809.1025641025644,81572.12820512822,1080.0076923076927,63423
82527.85897435897,1798.071794871795,81583.15897435896,1065.9102564102566,65092
82540.23846153847,1786.7717948717946,81594.45897435897,1053.5307692307692,66761
82551.91794871795,1776.4512820512819,81604.77948717949,1041.851282051282,68430
82555.29743589743,1761.1358974358975,81620.09487179488,1038.4717948717948,70099
82564.85128205128,1750.8974358974363,81630.33333333333,1028.917948717949,71768
82571.06666666667,1738.4205128205126,81642.81025641024,1022.702564102564,73437
82581.35384615386,1725.1358974358975,81656.09487179489,1012.4153846153847,75106
82587.9128205128,1712.7615384615383,81668.46923076923,1005.8564102564103,76775
82593.35384615384,1700.1358974358975,81681.09487179486,1000.4153846153841,78444
82607.73333333334,1695.071794871795,81686.15897435899,986.0358974358973,80113
82612.34871794873,1685.2333333333331,81695.99743589743,981.4205128205128,81782
82621.09999999998,1672.8435897435895,81708.38717948717,972.6692307692304,83451
82626.64615384613,1664.751282051282,81716.4794871795,967.1230769230768,85120
82630.78205128208,1648.925641025641,81732.30512820513,962.98717948718,86789
82646.49487179487,1646.2282051282054,81735.0025641026,947.2743589743593,88458
82648.18205128204,1628.176923076923,81753.05384615385,945.5871794871795,90127
82659.20769230768,1627.5717948717952,81753.65897435899,934.5615384615384,91796
82662.87435897437,1613.3333333333333,81767.89743589742,930.8948717948716,93465
82671.83846153844,1606.5589743589749,81774.67179487181,921.9307692307691,95134
82686.61282051282,1596.6666666666667,81784.56410256411,907.1564102564103,96803
82691.73076923078,1592.8153846153848,81788.4153846154,902.0384615384618,98472
82696.89743589744,1581.9461538461542,81799.28461538463,896.8717948717949,100141
82705.26923076922,1570.717948717949,81810.51282051283,888.4999999999998,101810
82706.67692307693,1559.6410256410256,81821.58974358974,887.0923076923076,103479
82713.71282051282,1551.4897435897435,81829.74102564102,880.0564102564102,105148
82723.90000000001,1539.6666666666667,81841.56410256411,869.8692307692306,106817
82734.3512820513,1536.261538461538,81844.9692307692,859.417948717949,108486
82740.6923076923,1529.9692307692308,81851.26153846155,853.0769230769229,110155
82748.55128205125,1519.8179487179484,81861.4128205128,845.2179487179484,111824
82753.70512820513,1512.382051282051,81868.84871794871,840.0641025641027,113493
82756.25897435898,1499.2487179487182,81881.98205128207,837.5102564102565,115162
82769.43333333335,1497.1871794871797,81884.04358974363,824.3358974358974,116831
82767.95128205128,1483.112820512821,81898.11794871798,825.8179487179489,118500
82783.08205128206,1481.8128205128205,81899.41794871795,810.6871794871796,120169
82787.79999999999,1473.4333333333334,81907.79743589745,805.9692307692308,121838
82791.12307692309,1464.1717948717944,81917.05897435895,802.6461538461537,123507
82799.03333333333,1453.14358974359,81928.08717948721,794.7358974358974,125176
82797.14102564103,1444.0820512820515,81937.14871794872,796.6282051282053,126845
82809.73333333332,1440.2743589743586,81940.95641025637,784.0358974358974,128514
82818.99999999999,1433.828205128205,81947.40256410255,774.7692307692307,130183
82823.33333333333,1426.2871794871799,81954.94358974359,770.4358974358971,131852
82830.39487179487,1420.823076923077,81960.4076923077,763.3743589743586,133521
82838.05384615387,1411.6666666666667,81969.56410256411,755.7153846153849,135190
82843.59743589743,1405.117948717949,81976.11282051285,750.1717948717949,136859
82848.0923076923,1395.3358974358978,81985.89487179491,745.6769230769231,138528
82854.13076923079,1392.0564102564108,81989.17435897437,739.6384615384615,140197
82859.89230769231,1383.9307692307693,81997.30000000002,733.876923076923,141866
82864.88717948718,1373.679487179487,82007.55128205128,728.8820512820512,143535
82872.31794871794,1368.623076923077,82012.60769230769,721.4512820512819,145204
82877.44358974359,1360.4102564102561,82020.82051282047,716.3256410256411,146873
82884.32307692309,1355.7769230769225,82025.45384615382,709.4461538461538,148542
82892.59743589743,1349.6102564102564,82031.6205128205,701.1717948717952,150211
82899.75897435896,1345.2435897435903,82035.98717948723,694.0102564102564,151880
82905.74871794872,1342.1461538461538,82039.08461538464,688.0205128205129,153549
82903.63846153846,1324.6384615384618,82056.59230769234,690.1307692307689,155218
82914.71282051281,1324.7307692307695,82056.50000000001,679.0564102564102,156887
82919.86153846153,1320.2692307692307,82060.96153846153,673.9076923076924,158556
82928.28717948719,1310.5666666666664,82070.6641025641,665.4820512820515,160225
82935.01282051281,1309.4435897435897,82071.78717948716,658.7564102564103,161894
82937.60769230769,1303.374358974359,82077.85641025641,656.1615384615383,163563
82947.05897435895,1292.8666666666666,82088.3641025641,646.7102564102563,165232
82952.30512820513,1295.2897435897437,82085.94102564102,641.4641025641029,166901
