FN,FP,TN,TP,sr,t
0.0,6.0,0.0,186.0,1,870
0.0,12.0,0.0,180.0,1,900
34.6,15.2,3.8,138.4,1,930
0.0,27.0,0.0,165.0,1,960
33.0,21.6,5.4,132.0,1,960
15.7,31.5,3.5,141.3,1,990
0.0,35.0,0.0,157.0,1,990
58.8,27.0,18.0,88.2,1,1020
14.7,40.5,4.5,132.3,1,1020
42.0,36.4,15.6,98.0,1,1050
26.4,48.0,12.0,105.6,1,1080
66.0,30.0,30.0,66.0,1,1080
74.4,27.2,40.8,49.6,1,1110
37.2,47.6,20.4,86.8,1,1110
80.5,23.1,53.9,34.5,1,1140
57.5,38.5,38.5,57.5,1,1140
43.2,50.4,33.6,64.8,1,1170
48.0,48.0,48.0,48.0,1,1200
57.6,38.4,57.6,38.4,1,1200
44.0,52.0,52.0,44.0,1,1230
52.8,41.6,62.4,35.2,1,1230
49.8,43.6,65.4,33.2,1,1260
32.4,66.6,44.4,48.6,1,1290
53.2,34.8,81.2,22.8,1,1320
49.0,36.6,85.4,21.0,1,1380
53.6,25.0,100.0,13.4,1,1410
42.7,39.3,91.7,18.3,1,1680
39.2,40.8,95.2,16.8,1,1770
41.6,28.0,112.0,10.4,1,1830
36.0,29.4,117.6,9.0,1,1890
37.8,15.0,135.0,4.2,1,1920
31.5,15.7,141.3,3.5,1,1980
25.6,32.0,128.0,6.4,1,2040
20.0,33.4,133.6,5.0,1,2100
17.6,34.0,136.0,4.4,1,2130
15.2,34.6,138.4,3.8,1,2160
14.0,0.0,178.0,0.0,1,2190
7.2,36.6,146.4,1.8,1,2280
3.0,0.0,189.0,0.0,1,2430
0.0,6.0,0.0,186.0,2,870
0.0,12.0,0.0,180.0,2,900
17.3,17.1,1.9,155.7,2,930
49.5,18.9,8.1,115.5,2,960
49.5,18.9,8.1,115.5,2,960
31.4,28.0,7.0,125.6,2,990
31.4,28.0,7.0,125.6,2,990
29.4,36.0,9.0,117.6,2,1020
14.7,40.5,4.5,132.3,2,1020
