FN,FP,TN,TP,sr,t
0.0,6.0,0.0,186.0,1,870
0.0,12.0,0.0,180.0,1,900
0.0,19.0,0.0,173.0,1,930
0.0,27.0,0.0,165.0,1,960
0.0,27.0,0.0,165.0,1,960
0.0,35.0,0.0,157.0,1,990
0.0,35.0,0.0,157.0,1,990
0.0,45.0,0.0,147.0,1,1020
0.0,45.0,0.0,147.0,1,1020
0.0,52.0,0.0,140.0,1,1050
13.2,54.0,6.0,118.8,1,1080
0.0,60.0,0.0,132.0,1,1080
0.0,68.0,0.0,124.0,1,1110
0.0,68.0,0.0,124.0,1,1110
0.0,77.0,0.0,115.0,1,1140
0.0,77.0,0.0,115.0,1,1140
0.0,84.0,0.0,108.0,1,1170
9.6,86.4,9.6,86.4,1,1200
9.6,86.4,9.6,86.4,1,1200
0.0,104.0,0.0,88.0,1,1230
8.8,93.6,10.4,79.2,1,1230
0.0,109.0,0.0,83.0,1,1260
24.3,77.7,33.3,56.7,1,1290
38.0,58.0,58.0,38.0,1,1320
7.0,109.8,12.2,63.0,1,1380
46.9,37.5,87.5,20.1,1,1410
0.0,131.0,0.0,61.0,1,1680
5.6,122.4,13.6,50.4,1,1770
5.2,126.0,14.0,46.8,1,1830
4.5,132.3,14.7,40.5,1,1890
25.2,60.0,90.0,16.8,1,1920
7.0,125.6,31.4,28.0,1,1980
32.0,0.0,160.0,0.0,1,2040
12.5,83.5,83.5,12.5,1,2100
4.4,136.0,34.0,17.6,1,2130
19.0,0.0,173.0,0.0,1,2160
5.6,106.8,71.2,8.4,1,2190
9.0,0.0,183.0,0.0,1,2280
3.0,0.0,189.0,0.0,1,2430
0.0,6.0,0.0,186.0,2,870
0.0,12.0,0.0,180.0,2,900
0.0,19.0,0.0,173.0,2,930
0.0,27.0,0.0,165.0,2,960
0.0,27.0,0.0,165.0,2,960
0.0,35.0,0.0,157.0,2,990
0.0,35.0,0.0,157.0,2,990
0.0,45.0,0.0,147.0,2,1020
0.0,45.0,0.0,147.0,2,1020
