FN,FP,TN,TP,sr,t
0.0,65.0,0.0,2495.0,1,0.38149656410256394
0.0,129.0,0.0,2431.0,1,0.430814923076923
0.0,193.0,0.0,2367.0,1,0.4619041025641029
0.0,257.0,0.0,2303.0,1,0.478987974358975
0.0,321.0,0.0,2239.0,1,0.5058564358974361
217.5,346.5,38.5,1957.5,1,0.514777717948718
211.1,404.1,44.9,1899.9,1,0.5204095384615379
0.0,513.0,0.0,2047.0,1,0.528053435897436
0.0,577.0,0.0,1983.0,1,0.566343743589744
191.9,576.9,64.1,1727.1,1,0.6127008205128199
0.0,705.0,0.0,1855.0,1,0.637905282051282
0.0,769.0,0.0,1791.0,1,0.732406631578947
0.0,833.0,0.0,1727.0,1,0.7536931794871801
166.3,807.3,89.7,1496.7,1,0.908881051282052
0.0,961.0,0.0,1599.0,1,0.925648461538462
153.5,922.5,102.5,1381.5,1,1.24142602702703
0.0,1089.0,0.0,1471.0,1,1.26169766666667
0.0,1153.0,0.0,1407.0,1,2.01560021052632
402.9,851.9,365.1,940.1,1,2.05687823076923
0.0,1281.0,0.0,1279.0,1,2.08937425641026
0.0,1345.0,0.0,1215.0,1,2.15586665
460.4,845.4,563.6,690.6,1,3.1989695384615398
217.4,1178.4,294.6,869.6,1,3.25657023076923
102.3,1383.3,153.7,920.7,1,5.81297530769231
0.0,1601.0,0.0,959.0,1,5.84338264102564
89.5,1498.5,166.5,805.5,1,6.48749235897436
83.1,1556.1,172.9,747.9,1,6.5250941025641
230.1,1255.1,537.9,536.9,1,10.6980868974359
281.2,1114.2,742.8,421.8,1,10.7357454871795
639.0,0.0,1921.0,0.0,1,10.8896856153846
0.0,1985.0,0.0,575.0,1,10.9212218421053
511.0,0.0,2049.0,0.0,1,19.898601564102602
447.0,0.0,2113.0,0.0,1,19.9770086666667
191.5,1088.5,1088.5,191.5,1,21.174593277777802
223.3,672.3,1568.7,95.7,1,21.2547994864865
25.5,2074.5,230.5,229.5,1,37.5557710769231
0.0,2369.0,0.0,191.0,1,37.7354408461539
88.9,729.9,1703.1,38.1,1,38.7889927567568
63.0,0.0,2497.0,0.0,1,38.9492308421053
0.0,65.0,0.0,2495.0,26,0.38149656410256394
19.2,116.2,12.8,2411.8,26,0.430814923076923
25.0,179.6,13.4,2342.0,26,0.4619041025641029
0.0,257.0,0.0,2303.0,26,0.478987974358975
0.0,308.2,12.8,2239.0,26,0.5058564358974361
57.9,330.5,54.5,2117.1,26,0.514777717948718
42.5,405.1,43.9,2068.5,26,0.5204095384615379
13.2,496.2,16.8,2033.8,26,0.528053435897436
51.2,441.6,135.4,1931.8,26,0.566343743589744
32.8,494.6,146.4,1886.2,26,0.6127008205128199
41.6,337.0,368.0,1813.4,26,0.637905282051282
12.7,384.5,384.5,1778.3,26,0.732406631578947
