FN,FP,TN,TP,sr,t
0.0,5.0,0.0,175.0,1,3065
0.0,10.0,0.0,170.0,1,3138
0.0,14.0,0.0,166.0,1,3154
32.2,15.2,3.8,128.8,1,3161
31.4,18.4,4.6,125.6,1,3177
0.0,28.0,0.0,152.0,1,3216
14.8,28.8,3.2,133.2,1,3238
14.3,33.3,3.7,128.7,1,3268
41.7,28.7,12.3,97.3,1,3299
93.8,13.8,32.2,40.2,1,3336
52.0,30.0,20.0,78.0,1,3398
37.5,38.5,16.5,87.5,1,3451
36.3,41.3,17.7,84.7,1,3532
34.8,44.8,19.2,81.2,1,4705
22.4,54.4,13.6,89.6,1,4787
64.2,29.2,43.8,42.8,1,4894
61.8,30.8,46.2,41.2,1,4907
29.4,57.4,24.6,68.6,1,4951
56.4,34.4,51.6,37.6,1,5045
62.3,27.3,63.7,26.7,1,5186
8.5,85.5,9.5,76.5,1,5220
48.0,40.0,60.0,32.0,1,5233
38.0,52.0,52.0,38.0,1,5241
63.9,10.9,98.1,7.1,1,5295
53.6,22.6,90.4,13.4,1,5310
36.6,47.6,71.4,24.4,1,5328
58.0,0.0,122.0,0.0,1,5342
26.5,63.5,63.5,26.5,1,5361
34.3,39.3,91.7,14.7,1,5419
35.2,27.2,108.8,8.8,1,5449
32.0,28.0,112.0,8.0,1,5465
35.0,0.0,145.0,0.0,1,5499
24.8,29.8,119.2,6.2,1,5515
23.4,15.4,138.6,2.6,1,14627
22.0,0.0,158.0,0.0,1,14667
17.0,0.0,163.0,0.0,1,14744
11.7,16.7,150.3,1.3,1,14852
7.2,17.2,154.8,0.8,1,16399
4.0,0.0,176.0,0.0,1,16442
17.5,4.5,0.5,157.5,2,3065
34.0,8.0,2.0,136.0,2,3138
33.2,11.2,2.8,132.8,2,3154
48.3,13.3,5.7,112.7,2,3161
62.8,13.8,9.2,94.2,2,3177
60.8,16.8,11.2,91.2,2,3216
29.6,25.6,6.4,118.4,2,3238
71.5,18.5,18.5,71.5,2,3268
55.6,24.6,16.4,83.4,2,3299
93.8,13.8,32.2,40.2,2,3336
65.0,25.0,25.0,65.0,2,3398
75.0,22.0,33.0,50.0,2,3451
60.5,29.5,29.5,60.5,2,3532
69.6,25.6,38.4,46.4,2,4705
100.8,6.8,61.2,11.2,2,4787
53.5,36.5,36.5,53.5,2,4894
51.5,38.5,38.5,51.5,2,4907
98.0,0.0,82.0,0.0,2,4951
56.4,34.4,51.6,37.6,2,5045
80.1,9.1,81.9,8.9,2,5186
76.5,9.5,85.5,8.5,2,5220
72.0,10.0,90.0,8.0,2,5233
60.8,20.8,83.2,15.2,2,5241
42.6,43.6,65.4,28.4,2,5295
46.9,33.9,79.1,20.1,2,5310
61.0,0.0,119.0,0.0,2,5328
52.2,12.2,109.8,5.8,2,5342
47.7,12.7,114.3,5.3,2,5361
44.1,13.1,117.9,4.9,2,5419
44.0,0.0,136.0,0.0,2,5449
40.0,0.0,140.0,0.0,2,5465
31.5,14.5,130.5,3.5,2,5499
31.0,0.0,149.0,0.0,2,5515
26.0,0.0,154.0,0.0,2,14627
22.0,0.0,158.0,0.0,2,14667
17.0,0.0,163.0,0.0,2,14744
13.0,0.0,167.0,0.0,2,14852
