FN,FP,TN,TP,sr,t
0.0,5.0,0.0,175.0,1,3065
0.0,10.0,0.0,170.0,1,3138
0.0,14.0,0.0,166.0,1,3154
0.0,19.0,0.0,161.0,1,3161
0.0,23.0,0.0,157.0,1,3177
0.0,28.0,0.0,152.0,1,3216
0.0,32.0,0.0,148.0,1,3238
0.0,37.0,0.0,143.0,1,3268
0.0,41.0,0.0,139.0,1,3299
0.0,46.0,0.0,134.0,1,3336
0.0,50.0,0.0,130.0,1,3398
25.0,44.0,11.0,100.0,1,3451
0.0,59.0,0.0,121.0,1,3532
0.0,64.0,0.0,116.0,1,4705
11.2,61.2,6.8,100.8,1,4787
32.1,51.1,21.9,74.9,1,4894
20.6,61.6,15.4,82.4,1,4907
19.6,65.6,16.4,78.4,1,4951
18.8,68.8,17.2,75.2,1,5045
17.8,72.8,18.2,71.2,1,5186
0.0,95.0,0.0,85.0,1,5220
0.0,100.0,0.0,80.0,1,5233
22.8,72.8,31.2,53.2,1,5241
28.4,65.4,43.6,42.6,1,5295
0.0,113.0,0.0,67.0,1,5310
6.1,107.1,11.9,54.9,1,5328
17.4,85.4,36.6,40.6,1,5342
5.3,114.3,12.7,47.7,1,5361
0.0,131.0,0.0,49.0,1,5419
0.0,136.0,0.0,44.0,1,5449
40.0,0.0,140.0,0.0,1,5465
35.0,0.0,145.0,0.0,1,5499
3.1,134.1,14.9,27.9,1,5515
10.4,92.4,61.6,15.6,1,14627
22.0,0.0,158.0,0.0,1,14667
17.0,0.0,163.0,0.0,1,14744
13.0,0.0,167.0,0.0,1,14852
5.6,51.6,120.4,2.4,1,16399
4.0,0.0,176.0,0.0,1,16442
0.0,5.0,0.0,175.0,2,3065
0.0,10.0,0.0,170.0,2,3138
0.0,14.0,0.0,166.0,2,3154
0.0,19.0,0.0,161.0,2,3161
0.0,23.0,0.0,157.0,2,3177
0.0,28.0,0.0,152.0,2,3216
0.0,32.0,0.0,148.0,2,3238
0.0,37.0,0.0,143.0,2,3268
0.0,41.0,0.0,139.0,2,3299
0.0,46.0,0.0,134.0,2,3336
0.0,50.0,0.0,130.0,2,3398
0.0,55.0,0.0,125.0,2,3451
0.0,59.0,0.0,121.0,2,3532
11.6,57.6,6.4,104.4,2,4705
0.0,68.0,0.0,112.0,2,4787
10.7,65.7,7.3,96.3,2,4894
0.0,77.0,0.0,103.0,2,4907
9.8,73.8,8.2,88.2,2,4951
47.0,43.0,43.0,47.0,2,5045
17.8,72.8,18.2,71.2,2,5186
25.5,66.5,28.5,59.5,2,5220
8.0,90.0,10.0,72.0,2,5233
60.8,20.8,83.2,15.2,2,5241
7.1,98.1,10.9,63.9,2,5295
26.8,67.8,45.2,40.2,2,5310
12.2,95.2,23.8,48.8,2,5328
0.0,122.0,0.0,58.0,2,5342
31.8,50.8,76.2,21.2,2,5361
0.0,131.0,0.0,49.0,2,5419
8.8,108.8,27.2,35.2,2,5449
8.0,112.0,28.0,32.0,2,5465
17.5,72.5,72.5,17.5,2,5499
0.0,149.0,0.0,31.0,2,5515
26.0,0.0,154.0,0.0,2,14627
15.4,47.4,110.6,6.6,2,14667
17.0,0.0,163.0,0.0,2,14744
13.0,0.0,167.0,0.0,2,14852
