FN,FP,TN,TP,sr,t
0.0,58.0,0.0,2246.0,1,6773.4578571428565
218.8,104.4,11.6,1969.2,1,6979.7807142857155
213.1,155.7,17.3,1917.9,1,7264.4617857142875
207.3,207.9,23.1,1865.7,1,7395.054999999998
0.0,289.0,0.0,2015.0,1,7596.398214285714
195.8,311.4,34.6,1762.2,1,7815.8617857142835
380.0,323.2,80.8,1520.0,1,7937.0025
184.3,414.9,46.1,1658.7,1,8447.814285714283
178.5,467.1,51.9,1606.5,1,8802.333928571428
172.7,519.3,57.7,1554.3,1,8938.154642857144
334.0,507.2,126.8,1336.0,1,9179.054642857143
322.4,553.6,138.4,1289.6,1,9560.767142857143
622.0,449.4,299.6,933.0,1,9629.681785714289
748.5,403.5,403.5,748.5,1,9697.493214285714
575.6,519.0,346.0,863.4,1,9817.643928571428
691.0,461.0,461.0,691.0,1,9896.94214285714
397.2,686.0,294.0,926.8,1,9985.245714285717
253.4,829.6,207.4,1013.6,1,10049.314285714288
362.7,766.5,328.5,846.3,1,10175.52607142857
690.6,461.2,691.8,460.4,1,10259.974999999997
547.0,605.0,605.0,547.0,1,10379.507142857143
828.8,253.6,1014.4,207.2,1,10457.592857142856
293.7,927.5,397.5,685.3,1,10546.846428571429
552.6,553.2,829.8,368.4,1,10607.560714285712
690.4,288.2,1152.8,172.6,1,10674.835714285711
564.2,449.4,1048.6,241.8,1,10788.810714285712
522.9,467.1,1089.9,224.1,1,10851.35357142857
621.9,161.3,1451.7,69.1,1,10970.621428571429
633.0,0.0,1671.0,0.0,1,11234.271428571428
460.0,345.8,1383.2,115.0,1,11315.592857142856
414.4,357.2,1428.8,103.6,1,11592.964285714279
414.0,184.4,1659.6,46.0,1,11656.392857142857
403.0,0.0,1901.0,0.0,1,11821.678571428567
345.0,0.0,1959.0,0.0,1,12473.907142857144
258.3,201.7,1815.3,28.7,1,13082.996428571429
230.0,0.0,2074.0,0.0,1,13508.696428571431
154.8,213.2,1918.8,17.2,1,14499.135714285716
115.0,0.0,2189.0,0.0,1,15826.046428571422
57.0,0.0,2247.0,0.0,1,19289.51785714286
21.8,49.8,8.2,2224.2,24,6773.4578571428565
182.1,66.1,49.9,2005.9,24,6979.7807142857155
332.3,75.8,97.2,1798.7,24,7264.4617857142875
215.3,143.3,87.7,1857.7,24,7395.054999999998
252.0,157.6,131.4,1763.0,24,7596.398214285714
211.9,220.5,125.5,1746.1,24,7815.8617857142835
272.3,172.1,231.9,1627.7,24,7937.0025
339.4,198.8,262.2,1503.6,24,8447.814285714283
228.6,291.8,227.2,1556.4,24,8802.333928571428
331.7,261.9,315.1,1395.3,24,8938.154642857144
352.6,264.9,369.1,1317.4,24,9179.054642857143
347.3,231.9,460.1,1264.7,24,9560.767142857143
387.1,263.3,485.7,1167.9,24,9629.681785714289
217.5,304.5,502.5,1279.5,24,9697.493214285714
363.2,210.2,654.8,1075.8,24,9817.643928571428
412.5,280.6,641.4,969.5,24,9896.94214285714
384.9,323.9,656.1,939.1,24,9985.245714285717
369.2,246.4,790.6,897.8,24,10049.314285714288
344.1,207.1,887.9,864.9,24,10175.52607142857
368.3,267.3,885.7,782.7,24,10259.974999999997
295.9,271.5,938.5,798.1,24,10379.507142857143
336.6,304.6,963.4,699.4,24,10457.592857142856
376.6,220.6,1104.4,602.4,24,10546.846428571429
321.1,258.5,1124.5,599.9,24,10607.560714285712
351.5,161.3,1279.7,511.5,24,10674.835714285711
264.4,273.8,1224.2,541.6,24,10788.810714285712
231.9,198.1,1358.9,515.1,24,10851.35357142857
296.7,228.5,1384.5,394.3,24,10970.621428571429
289.5,193.3,1477.7,343.5,24,11234.271428571428
257.1,204.9,1524.1,317.9,24,11315.592857142856
316.4,82.4,1703.6,201.6,24,11592.964285714279
210.9,134.5,1709.5,249.1,24,11656.392857142857
177.8,198.0,1703.0,225.2,24,11821.678571428567
127.7,117.9,1841.1,217.3,24,12473.907142857144
180.5,87.9,1929.1,106.5,24,13082.996428571429
145.0,107.0,1967.0,85.0,24,13508.696428571431
162.2,14.2,2117.8,9.8,24,14499.135714285716
84.9,69.5,2119.5,30.1,24,15826.046428571422
53.5,27.7,2219.3,3.5,24,19289.51785714286
56.7,37.7,20.3,2189.3,47,6773.4578571428565
117.1,65.7,50.3,2070.9,47,6979.7807142857155
133.8,106.8,66.2,1997.2,47,7264.4617857142875
141.9,117.9,113.1,1931.1,47,7395.054999999998
217.7,145.1,143.9,1797.3,47,7596.398214285714
186.2,176.4,169.6,1771.8,47,7815.8617857142835
209.9,187.3,216.7,1690.1,47,7937.0025
195.9,228.5,232.5,1647.1,47,8447.814285714283
255.6,200.6,318.4,1529.4,47,8802.333928571428
282.2,204.0,373.0,1444.8,47,8938.154642857144
315.2,248.7,385.3,1354.8,47,9179.054642857143
219.8,241.7,450.3,1392.2,47,9560.767142857143
294.7,206.6,542.4,1260.3,47,9629.681785714289
271.2,200.3,606.7,1225.8,47,9697.493214285714
271.7,229.1,635.9,1167.3,47,9817.643928571428
307.7,191.5,730.5,1074.3,47,9896.94214285714
310.0,214.8,765.2,1014.0,47,9985.245714285717
398.1,201.1,835.9,868.9,47,10049.314285714288
245.8,223.9,871.1,963.2,47,10175.52607142857
304.7,225.8,927.2,846.3,47,10259.974999999997
325.1,156.0,1054.0,768.9,47,10379.507142857143
255.1,178.1,1089.9,780.9,47,10457.592857142856
346.9,199.8,1125.2,632.1,47,10546.846428571429
292.2,177.1,1205.9,628.8,47,10607.560714285712
228.8,153.3,1287.7,634.2,47,10674.835714285711
222.3,187.9,1310.1,583.7,47,10788.810714285712
260.0,119.0,1438.0,487.0,47,10851.35357142857
198.0,110.6,1502.4,493.0,47,10970.621428571429
241.3,119.9,1551.1,391.7,47,11234.271428571428
189.0,174.0,1555.0,386.0,47,11315.592857142856
187.2,155.8,1630.2,330.8,47,11592.964285714279
182.7,117.6,1726.4,277.3,47,11656.392857142857
101.0,109.4,1791.6,302.0,47,11821.678571428567
136.1,88.5,1870.5,208.9,47,12473.907142857144
140.8,81.2,1935.8,146.2,47,13082.996428571429
122.4,107.6,1966.4,107.6,47,13508.696428571431
129.3,51.5,2080.5,42.7,47,14499.135714285716
49.1,106.3,2082.7,65.9,47,15826.046428571422
48.0,53.4,2193.6,9.0,47,19289.51785714286
62.2,31.4,26.6,2183.8,70,6773.4578571428565
86.0,56.2,59.8,2102.0,70,6979.7807142857155
111.1,100.3,72.7,2019.9,70,7264.4617857142875
169.2,88.0,143.0,1903.8,70,7395.054999999998
142.6,136.0,153.0,1872.4,70,7596.398214285714
237.6,161.6,184.4,1720.4,70,7815.8617857142835
239.9,144.7,259.3,1660.1,70,7937.0025
264.6,144.1,316.9,1578.4,70,8447.814285714283
273.3,191.3,327.7,1511.7,70,8802.333928571428
283.3,160.5,416.5,1443.7,70,8938.154642857144
239.4,202.4,431.6,1430.6,70,9179.054642857143
233.3,192.8,499.2,1378.7,70,9560.767142857143
300.5,190.7,558.3,1254.5,70,9629.681785714289
289.3,198.9,608.1,1207.7,70,9697.493214285714
234.8,157.3,707.7,1204.2,70,9817.643928571428
311.7,189.8,732.2,1070.3,70,9896.94214285714
256.9,210.7,769.3,1067.1,70,9985.245714285717
283.7,183.5,853.5,983.3,70,10049.314285714288
259.3,172.6,922.4,949.7,70,10175.52607142857
269.8,166.0,987.0,881.2,70,10259.974999999997
262.5,156.3,1053.7,831.5,70,10379.507142857143
237.2,199.2,1068.8,798.8,70,10457.592857142856
217.8,148.6,1176.4,761.2,70,10546.846428571429
255.7,146.7,1236.3,665.3,70,10607.560714285712
200.4,151.7,1289.3,662.6,70,10674.835714285711
171.8,156.8,1341.2,634.2,70,10788.810714285712
147.5,162.7,1394.3,599.5,70,10851.35357142857
226.4,118.8,1494.2,464.6,70,10970.621428571429
210.7,119.1,1551.9,422.3,70,11234.271428571428
197.5,102.5,1626.5,377.5,70,11315.592857142856
192.0,102.3,1683.7,326.0,70,11592.964285714279
171.6,114.1,1729.9,288.4,70,11656.392857142857
120.4,85.2,1815.8,282.6,70,11821.678571428567
151.3,72.2,1886.8,193.7,70,12473.907142857144
124.4,71.2,1945.8,162.6,70,13082.996428571429
109.6,75.6,1998.4,120.4,70,13508.696428571431
82.5,48.9,2083.1,89.5,70,14499.135714285716
63.6,76.8,2112.2,51.4,70,15826.046428571422
47.0,29.6,2217.4,10.0,70,19289.51785714286
40.2,21.4,36.6,2205.8,93,6773.4578571428565
83.1,43.9,72.1,2104.9,93,6979.7807142857155
114.8,91.1,81.9,2016.2,93,7264.4617857142875
159.1,96.2,134.8,1913.9,93,7395.054999999998
155.4,108.1,180.9,1859.6,93,7596.398214285714
194.7,142.4,203.6,1763.3,93,7815.8617857142835
233.1,144.5,259.5,1666.9,93,7937.0025
228.6,158.6,302.4,1614.4,93,8447.814285714283
235.6,191.0,328.0,1549.4,93,8802.333928571428
252.6,164.8,412.2,1474.4,93,8938.154642857144
228.8,209.5,424.5,1441.2,93,9179.054642857143
222.6,162.2,529.8,1389.4,93,9560.767142857143
235.0,166.3,582.7,1320.0,93,9629.681785714289
265.3,169.0,638.0,1231.7,93,9697.493214285714
194.1,143.7,721.3,1244.9,93,9817.643928571428
257.5,209.8,712.2,1124.5,93,9896.94214285714
265.5,158.8,821.2,1058.5,93,9985.245714285717
252.5,189.6,847.4,1014.5,93,10049.314285714288
195.0,139.1,955.9,1014.0,93,10175.52607142857
278.5,164.4,988.6,872.5,93,10259.974999999997
207.4,163.4,1046.6,886.6,93,10379.507142857143
265.1,146.3,1121.7,770.9,93,10457.592857142856
210.5,133.6,1191.4,768.5,93,10546.846428571429
217.9,158.9,1224.1,703.1,93,10607.560714285712
207.9,104.8,1336.2,655.1,93,10674.835714285711
169.0,94.4,1403.6,637.0,93,10788.810714285712
172.2,126.8,1430.2,574.8,93,10851.35357142857
153.0,112.8,1500.2,538.0,93,10970.621428571429
186.6,106.0,1565.0,446.4,93,11234.271428571428
179.6,86.2,1642.8,395.4,93,11315.592857142856
