FN,FP,TN,TP,sr,t
0.0,58.0,0.0,2246.0,1,6773.4578571428565
0.0,116.0,0.0,2188.0,1,6979.7807142857155
213.1,155.7,17.3,1917.9,1,7264.4617857142875
0.0,231.0,0.0,2073.0,1,7395.054999999998
0.0,289.0,0.0,2015.0,1,7596.398214285714
0.0,346.0,0.0,1958.0,1,7815.8617857142835
0.0,404.0,0.0,1900.0,1,7937.0025
184.3,414.9,46.1,1658.7,1,8447.814285714283
0.0,519.0,0.0,1785.0,1,8802.333928571428
0.0,577.0,0.0,1727.0,1,8938.154642857144
167.0,570.6,63.4,1503.0,1,9179.054642857143
161.2,622.8,69.2,1450.8,1,9560.767142857143
0.0,749.0,0.0,1555.0,1,9629.681785714289
149.7,726.3,80.7,1347.3,1,9697.493214285714
143.9,778.5,86.5,1295.1,1,9817.643928571428
276.4,737.6,184.4,1105.6,1,9896.94214285714
0.0,980.0,0.0,1324.0,1,9985.245714285717
0.0,1037.0,0.0,1267.0,1,10049.314285714288
0.0,1095.0,0.0,1209.0,1,10175.52607142857
0.0,1153.0,0.0,1151.0,1,10259.974999999997
109.4,1089.0,121.0,984.6,1,10379.507142857143
0.0,1268.0,0.0,1036.0,1,10457.592857142856
391.6,795.0,530.0,587.4,1,10546.846428571429
92.1,1244.7,138.3,828.9,1,10607.560714285712
172.6,1152.8,288.2,690.4,1,10674.835714285711
0.0,1498.0,0.0,806.0,1,10788.810714285712
0.0,1557.0,0.0,747.0,1,10851.35357142857
0.0,1613.0,0.0,691.0,1,10970.621428571429
63.3,1503.9,167.1,569.7,1,11234.271428571428
0.0,1729.0,0.0,575.0,1,11315.592857142856
259.0,893.0,893.0,259.0,1,11592.964285714279
0.0,1844.0,0.0,460.0,1,11656.392857142857
80.6,1520.8,380.2,322.4,1,11821.678571428567
69.0,1567.2,391.8,276.0,1,12473.907142857144
287.0,0.0,2017.0,0.0,1,13082.996428571429
230.0,0.0,2074.0,0.0,1,13508.696428571431
34.4,1705.6,426.4,137.6,1,14499.135714285716
115.0,0.0,2189.0,0.0,1,15826.046428571422
28.5,1123.5,1123.5,28.5,1,19289.51785714286
0.0,58.0,0.0,2246.0,24,6773.4578571428565
6.8,110.8,5.2,2181.2,24,6979.7807142857155
0.0,173.0,0.0,2131.0,24,7264.4617857142875
7.6,222.6,8.4,2065.4,24,7395.054999999998
46.4,277.0,12.0,1968.6,24,7596.398214285714
7.6,332.0,14.0,1950.4,24,7815.8617857142835
13.0,388.2,15.8,1887.0,24,7937.0025
23.9,377.9,83.1,1819.1,24,8447.814285714283
54.1,452.7,66.3,1730.9,24,8802.333928571428
61.9,478.3,98.7,1665.1,24,8938.154642857144
76.9,524.9,109.1,1593.1,24,9179.054642857143
135.9,424.8,267.2,1476.1,24,9560.767142857143
52.2,555.0,194.0,1502.8,24,9629.681785714289
45.8,555.9,251.1,1451.2,24,9697.493214285714
