FN,FP,TN,TP,sr,t
2629.4,270.4,67.6,10517.6,1,21.682
0.0,675.0,0.0,12810.0,1,21.941
1247.2,911.7,101.3,11224.8,1,22.249000000000002
1213.5,1215.0,135.0,10921.5,1,22.464000000000002
1179.9,1517.4,168.6,10619.1,1,22.674
1146.2,1820.7,202.3,10315.8,1,22.875
2225.0,1888.0,472.0,8900.0,1,23.156
1078.5,2430.0,270.0,9706.5,1,23.397
3134.7,2125.2,910.8,7314.3,1,23.689
0.0,3372.0,0.0,10113.0,1,23.914
0.0,3709.0,0.0,9776.0,1,24.25
2831.7,2832.2,1213.8,6607.3,1,24.643
910.2,3944.7,438.3,8191.8,1,25.176
1753.0,3776.0,944.0,7012.0,1,25.909000000000002
2528.4,3539.9,1517.1,5899.6,1,26.388
4853.4,2158.4,3237.6,3235.6,1,27.068
2325.9,4012.4,1719.6,5427.1,1,27.871
5932.8,1213.8,4855.2,1483.2,1,28.662
3539.5,3203.0,3203.0,3539.5,1,29.551
5392.8,1348.8,5395.2,1348.2,1,30.396
2562.0,4248.0,2832.0,3843.0,1,31.2
3640.8,2966.8,4450.2,2427.2,1,31.9
2865.5,3877.0,3877.0,2865.5,1,32.867
1617.9,5664.4,2427.6,3775.1,1,33.649
2528.0,4214.5,4214.5,2528.0,1,34.982
2830.8,3506.8,5260.2,1887.2,1,36.14
3066.7,2731.2,6372.8,1314.3,1,37.357
2427.0,3776.0,5664.0,1618.0,1,39.013000000000005
2966.4,1955.4,7821.6,741.6,1,41.394
3033.9,1011.4,9102.6,337.1,1,42.576
2427.2,2090.2,8360.8,606.8,1,43.701
2696.0,0.0,10789.0,0.0,1,45.168
1887.2,2225.2,8900.8,471.8,1,46.952
2022.0,0.0,11463.0,0.0,1,49.398999999999994
1685.0,0.0,11800.0,0.0,1,52.981
1213.2,1213.7,10923.3,134.8,1,58.173
1011.0,0.0,12474.0,0.0,1,64.203
674.0,0.0,12811.0,0.0,1,69.488
337.0,0.0,13148.0,0.0,1,77.494
564.2,242.4,95.6,12582.8,135,21.682
487.2,475.0,200.0,12322.8,135,21.941
857.0,547.8,465.2,11615.0,135,22.249000000000002
983.7,757.8,592.2,11151.3,135,22.464000000000002
883.8,811.1,874.9,10915.2,135,22.674
1118.3,885.3,1137.7,10343.7,135,22.875
931.2,940.4,1419.6,10193.8,135,23.156
1080.6,1080.8,1619.2,9704.4,135,23.397
1249.0,992.0,2044.0,9200.0,135,23.689
1431.5,845.8,2526.2,8681.5,135,23.914
1314.5,925.1,2783.9,8461.5,135,24.25
1325.5,617.6,3428.4,8113.5,135,24.643
1247.0,852.1,3530.9,7855.0,135,25.176
1412.5,829.1,3890.9,7352.5,135,25.909000000000002
1528.2,862.5,4194.5,6899.8,135,26.388
1458.0,803.3,4592.7,6631.0,135,27.068
1388.6,808.9,4923.1,6364.4,135,27.871
1461.8,862.6,5206.4,5954.2,135,28.662
1417.5,1000.6,5405.4,5661.5,135,29.551
1638.7,784.5,5959.5,5102.3,135,30.396
1093.6,943.3,6136.7,5311.4,135,31.2
1163.9,934.6,6482.4,4904.1,135,31.9
1383.7,976.0,6778.0,4347.3,135,32.867
1294.9,928.8,7163.2,4098.1,135,33.649
1170.6,813.5,7615.5,3885.4,135,34.982
1274.7,827.3,7939.7,3443.3,135,36.14
1242.0,1027.5,8076.5,3139.0,135,37.357
1253.4,962.0,8478.0,2791.6,135,39.013000000000005
1361.4,944.7,8832.3,2346.6,135,41.394
1177.1,1190.5,8923.5,2193.9,135,42.576
1396.3,1054.4,9396.6,1637.7,135,43.701
1452.7,932.8,9856.2,1243.3,135,45.168
1304.2,692.2,10433.8,1054.8,135,46.952
1112.6,744.8,10718.2,909.4,135,49.398999999999994
1144.3,573.2,11226.8,540.7,135,52.981
852.2,638.1,11498.9,495.8,135,58.173
730.4,401.5,12072.5,280.6,135,64.203
500.6,235.4,12575.6,173.4,135,69.488
264.9,162.0,12986.0,72.1,135,77.494
328.2,231.8,106.2,12818.8,269,21.682
512.4,405.9,269.1,12297.6,269,21.941
687.2,448.2,564.8,11784.8,269,22.249000000000002
723.6,508.3,841.7,11411.4,269,22.464000000000002
677.9,539.5,1146.5,11121.1,269,22.674
753.9,519.3,1503.7,10708.1,269,22.875
828.6,597.8,1762.2,10296.4,269,23.156
903.4,688.3,2011.7,9881.6,269,23.397
839.6,711.8,2324.2,9609.4,269,23.689
1050.7,670.1,2701.9,9062.3,269,23.914
1052.5,703.1,3005.9,8723.5,269,24.25
782.8,631.8,3414.2,8656.2,269,24.643
1033.5,649.8,3733.2,8068.5,269,25.176
1013.9,767.3,3952.7,7751.1,269,25.909000000000002
1042.2,790.2,4266.8,7385.8,269,26.388
1259.1,675.7,4720.3,6829.9,269,27.068
1318.5,662.7,5069.3,6434.5,269,27.871
1149.5,821.9,5247.1,6266.5,269,28.662
1126.6,634.1,5771.9,5952.4,269,29.551
978.5,747.2,5996.8,5762.5,269,30.396
1119.8,728.6,6351.4,5285.2,269,31.2
1052.0,707.0,6710.0,5016.0,269,31.9
1077.3,791.4,6962.6,4653.7,269,32.867
848.6,624.2,7467.8,4544.4,269,33.649
927.6,626.4,7802.6,4128.4,269,34.982
1103.7,663.6,8103.4,3614.3,269,36.14
892.2,670.6,8433.4,3488.8,269,37.357
1002.7,652.7,8787.3,3042.3,269,39.013000000000005
982.8,877.7,8899.3,2725.2,269,41.394
1119.9,753.8,9360.2,2251.1,269,42.576
1123.8,846.1,9604.9,1910.2,269,43.701
1141.1,787.8,10001.2,1554.9,269,45.168
1044.0,734.5,10391.5,1315.0,269,46.952
904.8,656.2,10806.8,1117.2,269,49.398999999999994
892.1,516.6,11283.4,792.9,269,52.981
787.2,444.0,11693.0,560.8,269,58.173
615.4,307.5,12166.5,395.6,269,64.203
431.5,219.1,12591.9,242.5,269,69.488
223.1,96.4,13051.6,113.9,269,77.494
258.5,192.5,145.5,12888.5,403,21.682
544.7,339.1,335.9,12265.3,403,21.941
563.5,465.9,547.1,11908.5,403,22.249000000000002
522.5,477.5,872.5,11612.5,403,22.464000000000002
651.5,445.2,1240.8,11147.5,403,22.674
754.9,476.6,1546.4,10707.1,403,22.875
711.6,477.3,1882.7,10413.4,403,23.156
869.8,606.9,2093.1,9915.2,403,23.397
854.8,569.6,2466.4,9594.2,403,23.689
777.0,641.5,2730.5,9336.0,403,23.914
779.4,590.6,3118.4,8996.6,403,24.25
809.0,534.9,3511.1,8630.0,403,24.643
866.7,671.4,3711.6,8235.3,403,25.176
853.0,627.6,4092.4,7912.0,403,25.909000000000002
959.2,627.5,4429.5,7468.8,403,26.388
986.1,645.3,4750.7,7102.9,403,27.068
904.7,653.1,5078.9,6848.3,403,27.871
1081.0,642.0,5427.0,6335.0,403,28.662
1017.0,649.6,5756.4,6062.0,403,29.551
899.1,615.1,6128.9,5841.9,403,30.396
898.1,584.8,6495.2,5506.9,403,31.2
821.7,562.2,6854.8,5246.3,403,31.9
815.3,639.0,7115.0,4915.7,403,32.867
716.5,664.5,7427.5,4676.5,403,33.649
620.3,502.4,7926.6,4435.7,403,34.982
702.0,479.2,8287.8,4016.0,403,36.14
772.2,540.8,8563.2,3608.8,403,37.357
843.4,607.7,8832.3,3201.6,403,39.013000000000005
934.9,571.9,9205.1,2773.1,403,41.394
932.0,763.8,9350.2,2439.0,403,42.576
972.8,731.7,9719.3,2061.2,403,43.701
963.3,710.8,10078.2,1732.7,403,45.168
768.1,628.0,10498.0,1590.9,403,46.952
807.1,450.2,11012.8,1214.9,403,49.398999999999994
665.8,466.9,11333.1,1019.2,403,52.981
540.8,315.4,11821.6,807.2,403,58.173
474.2,208.7,12265.3,536.8,403,64.203
353.0,173.8,12637.2,321.0,403,69.488
198.8,64.3,13083.7,138.2,403,77.494
264.7,197.0,141.0,12882.3,537,21.682
450.3,311.8,363.2,12359.7,537,21.941
501.5,374.1,638.9,11970.5,537,22.249000000000002
505.1,401.3,948.7,11629.9,537,22.464000000000002
581.1,374.5,1311.5,11217.9,537,22.674
660.3,435.4,1587.6,10801.7,537,22.875
679.4,479.1,1880.9,10445.6,537,23.156
754.7,534.2,2165.8,10030.3,537,23.397
772.7,556.2,2479.8,9676.3,537,23.689
730.5,526.2,2845.8,9382.5,537,23.914
878.5,449.0,3260.0,8897.5,537,24.25
676.8,496.6,3549.4,8762.2,537,24.643
697.9,546.7,3836.3,8404.1,537,25.176
805.2,543.8,4176.2,7959.8,537,25.909000000000002
816.9,506.1,4550.9,7611.1,537,26.388
774.0,466.2,4929.8,7315.0,537,27.068
870.2,500.7,5231.3,6882.8,537,27.871
854.6,530.5,5538.5,6561.4,537,28.662
833.6,539.1,5866.9,6245.4,537,29.551
788.7,491.2,6252.8,5952.3,537,30.396
847.4,504.9,6575.1,5557.6,537,31.2
778.7,574.2,6842.8,5289.3,537,31.9
721.7,491.8,7262.2,5009.3,537,32.867
701.5,471.0,7621.0,4691.5,537,33.649
682.3,446.8,7982.2,4373.7,537,34.982
660.9,411.9,8355.1,4057.1,537,36.14
617.2,517.7,8586.3,3763.8,537,37.357
732.0,569.8,8870.2,3313.0,537,39.013000000000005
768.2,519.0,9258.0,2939.8,537,41.394
761.4,531.3,9582.7,2609.6,537,42.576
834.2,526.1,9924.9,2199.8,537,43.701
841.9,579.5,10209.5,1854.1,537,45.168
675.3,532.3,10593.7,1683.7,537,46.952
731.9,378.5,11084.5,1290.1,537,49.398999999999994
519.7,254.1,11545.9,1165.3,537,52.981
499.3,190.9,11946.1,848.7,537,58.173
373.1,147.0,12327.0,637.9,537,64.203
332.5,140.8,12670.2,341.5,537,69.488
172.6,87.8,13060.2,164.4,537,77.494
259.2,156.8,181.2,12887.8,671,21.682
437.6,264.8,410.2,12372.4,671,21.941
435.3,364.0,649.0,12036.7,671,22.249000000000002
491.4,417.2,932.8,11643.6,671,22.464000000000002
569.9,373.2,1312.8,11229.1,671,22.674
658.3,431.3,1591.7,10803.7,671,22.875
596.7,421.4,1938.6,10528.3,671,23.156
642.7,484.5,2215.5,10142.3,671,23.397
679.1,457.5,2578.5,9769.9,671,23.689
660.1,438.7,2933.3,9452.9,671,23.914
664.6,430.9,3278.1,9111.4,671,24.25
652.7,369.5,3676.5,8786.3,671,24.643
645.9,400.6,3982.4,8456.1,671,25.176
639.9,475.5,4244.5,8125.1,671,25.909000000000002
695.7,421.3,4635.7,7732.3,671,26.388
687.3,398.2,4997.8,7401.7,671,27.068
714.1,425.1,5306.9,7038.9,671,27.871
761.2,454.4,5614.6,6654.8,671,28.662
687.4,502.5,5903.5,6391.6,671,29.551
734.9,438.2,6305.8,6006.1,671,30.396
721.4,446.8,6633.2,5683.6,671,31.2
682.4,471.1,6945.9,5385.6,671,31.9
675.2,360.6,7393.4,5055.8,671,32.867
654.9,423.2,7668.8,4738.1,671,33.649
569.2,364.4,8064.6,4486.8,671,34.982
588.5,349.0,8418.0,4129.5,671,36.14
552.1,414.0,8690.0,3828.9,671,37.357
658.3,437.9,9002.1,3386.7,671,39.013000000000005
723.6,455.5,9321.5,2984.4,671,41.394
699.9,466.4,9647.6,2671.1,671,42.576
