FN,FP,TN,TP,sr,t
0.0,338.0,0.0,13147.0,1,21.682
0.0,675.0,0.0,12810.0,1,21.941
0.0,1013.0,0.0,12472.0,1,22.249000000000002
2427.0,1080.0,270.0,9708.0,1,22.464000000000002
0.0,1686.0,0.0,11799.0,1,22.674
0.0,2023.0,0.0,11462.0,1,22.875
0.0,2360.0,0.0,11125.0,1,23.156
1078.5,2430.0,270.0,9706.5,1,23.397
0.0,3036.0,0.0,10449.0,1,23.689
0.0,3372.0,0.0,10113.0,1,23.914
0.0,3709.0,0.0,9776.0,1,24.25
0.0,4046.0,0.0,9439.0,1,24.643
0.0,4383.0,0.0,9102.0,1,25.176
0.0,4720.0,0.0,8765.0,1,25.909000000000002
0.0,5057.0,0.0,8428.0,1,26.388
1617.8,4316.8,1079.2,6471.2,1,27.068
1550.6,4585.6,1146.4,6202.4,1,27.871
741.6,5462.1,606.9,6674.4,1,28.662
0.0,6406.0,0.0,7079.0,1,29.551
0.0,6744.0,0.0,6741.0,1,30.396
0.0,7080.0,0.0,6405.0,1,31.2
1213.6,5933.6,1483.4,4854.4,1,31.9
0.0,7754.0,0.0,5731.0,1,32.867
1078.6,6473.6,1618.4,4314.4,1,33.649
0.0,8429.0,0.0,5056.0,1,34.982
471.8,7890.3,876.7,4246.2,1,36.14
2628.6,3641.6,5462.4,1752.4,1,37.357
1618.0,5664.0,3776.0,2427.0,1,39.013000000000005
1112.4,6843.9,2933.1,2595.6,1,41.394
1685.5,5057.0,5057.0,1685.5,1,42.576
1517.0,5225.5,5225.5,1517.0,1,43.701
0.0,10789.0,0.0,2696.0,1,45.168
2359.0,0.0,11126.0,0.0,1,46.952
1819.8,1146.3,10316.7,202.2,1,49.398999999999994
1685.0,0.0,11800.0,0.0,1,52.981
674.0,6068.5,6068.5,674.0,1,58.173
1011.0,0.0,12474.0,0.0,1,64.203
674.0,0.0,12811.0,0.0,1,69.488
337.0,0.0,13148.0,0.0,1,77.494
13.9,334.9,3.1,13133.1,135,21.682
47.6,597.7,77.3,12762.4,135,21.941
97.0,948.4,64.6,12375.0,135,22.249000000000002
64.1,1265.8,84.2,12070.9,135,22.464000000000002
131.9,1546.7,139.3,11667.1,135,22.674
112.8,1872.7,150.3,11349.2,135,22.875
122.6,2126.8,233.2,11002.4,135,23.156
104.7,2191.5,508.5,10680.3,135,23.397
