FN,FP,TN,TP,sr,t
0.0,87.0,0.0,3369.0,1,127.14200000000001
0.0,173.0,0.0,3283.0,1,146.784
0.0,260.0,0.0,3196.0,1,161.565
622.0,276.8,69.2,2488.0,1,173.891
302.3,389.7,43.3,2720.7,1,185.75599999999997
587.4,415.2,103.8,2349.6,1,197.015
570.2,484.0,121.0,2280.8,1,205.10299999999998
552.8,553.6,138.4,2211.2,1,214.959
1071.2,466.8,311.2,1606.8,1,222.62099999999998
259.1,778.5,86.5,2331.9,1,231.72099999999998
501.0,760.8,190.2,2004.0,1,241.138
483.8,829.6,207.4,1935.2,1,246.171
699.6,786.8,337.2,1632.4,1,254.862
673.8,847.0,363.0,1572.2,1,262.707
1079.5,648.5,648.5,1079.5,1,270.16
1036.5,691.5,691.5,1036.5,1,279.184
1192.2,587.6,881.4,794.8,1,287.014
570.0,1089.2,466.8,1330.0,1,295.097
725.6,985.2,656.8,1088.4,1,302.13599999999997
1208.9,518.7,1210.3,518.1,1,312.586
820.5,907.5,907.5,820.5,1,321.889
1088.5,570.3,1330.7,466.5,1,330.30699999999996
1027.6,596.4,1391.6,440.4,1,340.32099999999997
967.4,622.2,1451.8,414.6,1,350.175
777.0,864.4,1296.6,518.0,1,361.425
604.5,1123.5,1123.5,604.5,1,376.219
1123.0,0.0,2333.0,0.0,1,387.087
518.0,1210.0,1210.0,518.0,1,404.142
760.0,501.2,2004.8,190.0,1,426.843
604.1,777.9,1815.1,258.9,1,445.48800000000006
621.6,535.8,2143.2,155.4,1,475.07
552.8,553.0,2212.0,138.2,1,515.107
483.2,570.4,2281.6,120.8,1,568.7919999999999
414.4,587.6,2350.4,103.6,1,852.556
344.8,605.0,2420.0,86.2,1,1501.64
310.5,311.1,2799.9,34.5,1,1902.79
233.1,319.7,2877.3,25.9,1,2283.97
172.0,0.0,3284.0,0.0,1,2799.9
86.0,0.0,3370.0,0.0,1,3270.26
106.9,69.1,17.9,3262.1,35,127.14200000000001
210.6,104.6,68.4,3072.4,35,146.784
196.1,119.0,141.0,2999.9,35,161.565
211.2,211.6,134.4,2898.8,35,173.891
271.1,205.5,227.5,2751.9,35,185.75599999999997
240.4,208.6,310.4,2696.6,35,197.015
335.9,248.5,356.5,2515.1,35,205.10299999999998
390.2,225.2,466.8,2373.8,35,214.959
407.3,311.2,466.8,2270.7,35,222.62099999999998
483.3,299.9,565.1,2107.7,35,231.72099999999998
467.2,321.8,629.2,2037.8,35,241.138
418.7,356.9,680.1,2000.3,35,246.171
535.5,359.9,764.1,1796.5,35,254.862
407.0,410.6,799.4,1839.0,35,262.707
471.8,328.0,969.0,1687.2,35,270.16
649.2,316.5,1066.5,1423.8,35,279.184
518.4,288.2,1180.8,1468.6,35,287.014
460.6,326.0,1230.0,1439.4,35,295.097
627.0,315.6,1326.4,1187.0,35,302.13599999999997
507.4,343.1,1385.9,1219.6,35,312.586
592.2,329.1,1485.9,1048.8,35,321.889
460.9,369.3,1531.7,1094.1,35,330.30699999999996
377.4,318.5,1669.5,1090.6,35,340.32099999999997
411.4,313.8,1760.2,970.6,35,350.175
382.5,321.7,1839.3,912.5,35,361.425
396.7,221.9,2025.1,812.3,35,376.219
359.2,247.2,2085.8,763.8,35,387.087
310.6,110.4,2309.6,725.4,35,404.142
226.5,160.5,2345.5,723.5,35,426.843
235.1,177.3,2415.7,627.9,35,445.48800000000006
301.4,103.2,2575.8,475.6,35,475.07
178.6,42.6,2722.4,512.4,35,515.107
68.4,27.2,2824.8,535.6,35,568.7919999999999
84.7,38.3,2899.7,433.3,35,852.556
121.4,76.8,2948.2,309.6,35,1501.64
102.5,107.9,3003.1,242.5,35,1902.79
141.2,65.8,3131.2,117.8,35,2283.97
142.4,20.8,3263.2,29.6,35,2799.9
83.0,11.4,3358.6,3.0,35,3270.26
110.5,59.5,27.5,3258.5,69,127.14200000000001
101.0,79.8,93.2,3182.0,69,146.784
154.2,101.2,158.8,3041.8,69,161.565
203.7,111.2,234.8,2906.3,69,173.891
213.4,155.0,278.0,2809.6,69,185.75599999999997
183.2,210.5,308.5,2753.8,69,197.015
315.9,193.3,411.7,2535.1,69,205.10299999999998
303.4,202.0,490.0,2460.6,69,214.959
290.9,258.5,519.5,2387.1,69,222.62099999999998
376.2,286.1,578.9,2214.8,69,231.72099999999998
359.5,248.6,702.4,2145.5,69,241.138
348.0,275.7,761.3,2071.0,69,246.171
413.4,276.4,847.6,1918.6,69,254.862
367.4,306.8,903.2,1878.6,69,262.707
445.8,257.7,1039.3,1713.2,69,270.16
407.8,292.2,1090.8,1665.2,69,279.184
423.8,285.4,1183.6,1563.2,69,287.014
449.0,291.2,1264.8,1451.0,69,295.097
390.3,301.6,1340.4,1423.7,69,302.13599999999997
395.0,265.1,1463.9,1332.0,69,312.586
365.3,243.8,1571.2,1275.7,69,321.889
361.1,202.3,1698.7,1193.9,69,330.30699999999996
412.5,240.3,1747.7,1055.5,69,340.32099999999997
347.3,207.4,1866.6,1034.7,69,350.175
310.9,255.9,1905.1,984.1,69,361.425
245.4,221.1,2025.9,963.6,69,376.219
232.8,169.4,2163.6,890.2,69,387.087
225.3,137.1,2282.9,810.7,69,404.142
208.6,134.3,2371.7,741.4,69,426.843
160.9,176.4,2416.6,702.1,69,445.48800000000006
164.0,111.5,2567.5,613.0,69,475.07
102.9,93.9,2671.1,588.1,69,515.107
148.2,39.4,2812.6,455.8,69,568.7919999999999
53.3,34.5,2903.5,464.7,69,852.556
81.4,45.2,2979.8,349.6,69,1501.64
111.1,66.1,3044.9,233.9,69,1902.79
89.4,83.2,3113.8,169.6,69,2283.97
110.9,25.6,3258.4,61.1,69,2799.9
67.5,25.9,3344.1,18.5,69,3270.26
52.0,56.8,30.2,3317.0,103,127.14200000000001
84.0,102.2,70.8,3199.0,103,146.784
127.9,109.7,150.3,3068.1,103,161.565
155.5,118.6,227.4,2954.5,103,173.891
197.0,149.7,283.3,2826.0,103,185.75599999999997
213.8,175.8,343.2,2723.2,103,197.015
216.0,152.7,452.3,2635.0,103,205.10299999999998
290.2,180.9,511.1,2473.8,103,214.959
268.8,211.5,566.5,2409.2,103,222.62099999999998
322.7,218.8,646.2,2268.3,103,231.72099999999998
316.5,210.7,740.3,2188.5,103,241.138
358.9,188.1,848.9,2060.1,103,246.171
349.7,254.9,869.1,1982.3,103,254.862
301.6,248.8,961.2,1944.4,103,262.707
367.9,190.1,1106.9,1791.1,103,270.16
461.8,183.6,1199.4,1611.2,103,279.184
321.8,242.8,1226.2,1665.2,103,287.014
333.5,262.2,1293.8,1566.5,103,295.097
357.5,237.9,1404.1,1456.5,103,302.13599999999997
346.0,219.1,1509.9,1381.0,103,312.586
288.3,242.2,1572.8,1352.7,103,321.889
313.2,200.6,1700.4,1241.8,103,330.30699999999996
307.1,179.5,1808.5,1160.9,103,340.32099999999997
302.3,190.5,1883.5,1079.7,103,350.175
284.4,147.8,2013.2,1010.6,103,361.425
185.8,168.9,2078.1,1023.2,103,376.219
228.0,110.9,2222.1,895.0,103,387.087
202.3,84.6,2335.4,833.7,103,404.142
169.1,128.6,2377.4,780.9,103,426.843
168.7,97.1,2495.9,694.3,103,445.48800000000006
121.0,77.6,2601.4,656.0,103,475.07
108.5,77.6,2687.4,582.5,103,515.107
83.9,27.1,2824.9,520.1,103,568.7919999999999
18.5,38.1,2899.9,499.5,103,852.556
69.2,35.8,2989.2,361.8,103,1501.64
82.7,49.1,3061.9,262.3,103,1902.79
68.1,59.3,3137.7,190.9,103,2283.97
61.6,31.0,3253.0,110.4,103,2799.9
45.5,36.5,3333.5,40.5,103,3270.26
47.8,52.6,34.4,3321.2,137,127.14200000000001
90.3,57.9,115.1,3192.7,137,146.784
111.2,90.6,169.4,3084.8,137,161.565
151.3,100.7,245.3,2958.7,137,173.891
120.8,159.6,273.4,2902.2,137,185.75599999999997
199.4,153.3,365.7,2737.6,137,197.015
258.0,150.4,454.6,2593.0,137,205.10299999999998
235.0,159.7,532.3,2529.0,137,214.959
259.2,219.3,558.7,2418.8,137,222.62099999999998
302.7,200.1,664.9,2288.3,137,231.72099999999998
326.8,189.3,761.7,2178.2,137,241.138
304.9,213.9,823.1,2114.1,137,246.171
345.2,226.8,897.2,1986.8,137,254.862
332.3,187.0,1023.0,1913.7,137,262.707
276.3,208.0,1089.0,1882.7,137,270.16
370.0,153.3,1229.7,1703.0,137,279.184
340.9,197.4,1271.6,1646.1,137,287.014
305.1,192.1,1363.9,1594.9,137,295.097
306.8,169.9,1472.1,1507.2,137,302.13599999999997
321.5,181.9,1547.1,1405.5,137,312.586
289.1,203.2,1611.8,1351.9,137,321.889
292.7,198.2,1702.8,1262.3,137,330.30699999999996
227.4,178.6,1809.4,1240.6,137,340.32099999999997
257.9,156.0,1918.0,1124.1,137,350.175
235.7,172.9,1988.1,1059.3,137,361.425
218.1,132.7,2114.3,990.9,137,376.219
181.5,124.5,2208.5,941.5,137,387.087
190.0,115.0,2305.0,846.0,137,404.142
184.1,71.5,2434.5,765.9,137,426.843
133.2,87.2,2505.8,729.8,137,445.48800000000006
126.6,62.8,2616.2,650.4,137,475.07
109.5,63.1,2701.9,581.5,137,515.107
47.7,48.5,2803.5,556.3,137,568.7919999999999
