FN,FP,TN,TP,sr,t
0.0,87.0,0.0,3369.0,1,127.14200000000001
0.0,173.0,0.0,3283.0,1,146.784
0.0,260.0,0.0,3196.0,1,161.565
0.0,346.0,0.0,3110.0,1,173.891
0.0,433.0,0.0,3023.0,1,185.75599999999997
0.0,519.0,0.0,2937.0,1,197.015
285.1,544.5,60.5,2565.9,1,205.10299999999998
276.4,622.8,69.2,2487.6,1,214.959
267.8,700.2,77.8,2410.2,1,222.62099999999998
259.1,778.5,86.5,2331.9,1,231.72099999999998
0.0,951.0,0.0,2505.0,1,241.138
0.0,1037.0,0.0,2419.0,1,246.171
0.0,1124.0,0.0,2332.0,1,254.862
0.0,1210.0,0.0,2246.0,1,262.707
431.8,1037.6,259.4,1727.2,1,270.16
621.9,968.1,414.9,1451.1,1,279.184
0.0,1469.0,0.0,1987.0,1,287.014
570.0,1089.2,466.8,1330.0,1,295.097
181.4,1477.8,164.2,1632.6,1,302.13599999999997
0.0,1729.0,0.0,1727.0,1,312.586
656.4,1089.0,726.0,984.6,1,321.889
933.0,760.4,1140.6,622.0,1,330.30699999999996
0.0,1988.0,0.0,1468.0,1,340.32099999999997
276.4,1659.2,414.8,1105.6,1,350.175
1295.0,0.0,2161.0,0.0,1,361.425
241.8,1797.6,449.4,967.2,1,376.219
224.6,1866.4,466.6,898.4,1,387.087
310.8,1694.0,726.0,725.2,1,404.142
0.0,2506.0,0.0,950.0,1,426.843
0.0,2593.0,0.0,863.0,1,445.48800000000006
77.7,2411.1,267.9,699.3,1,475.07
69.1,2488.5,276.5,621.9,1,515.107
241.6,1711.2,1140.8,362.4,1,568.7919999999999
0.0,2938.0,0.0,518.0,1,852.556
172.4,1815.0,1210.0,258.6,1,1501.64
172.5,1555.5,1555.5,172.5,1,1902.79
259.0,0.0,3197.0,0.0,1,2283.97
172.0,0.0,3284.0,0.0,1,2799.9
17.2,2696.0,674.0,68.8,1,3270.26
0.0,87.0,0.0,3369.0,35,127.14200000000001
0.0,173.0,0.0,3283.0,35,146.784
0.0,260.0,0.0,3196.0,35,161.565
0.0,346.0,0.0,3110.0,35,173.891
18.7,362.5,70.5,3004.3,35,185.75599999999997
21.3,383.1,135.9,2915.7,35,197.015
8.3,449.2,155.8,2842.7,35,205.10299999999998
63.2,525.1,166.9,2700.8,35,214.959
45.2,690.9,87.1,2632.8,35,222.62099999999998
25.6,578.2,286.8,2565.4,35,231.72099999999998
17.5,668.6,282.4,2487.5,35,241.138
49.6,626.0,411.0,2369.4,35,246.171
49.0,724.8,399.2,2283.0,35,254.862
44.4,982.2,227.8,2201.6,35,262.707
20.5,1021.8,275.2,2138.5,35,270.16
95.8,860.4,522.6,1977.2,35,279.184
44.8,845.5,623.5,1942.2,35,287.014
65.3,891.7,664.3,1834.7,35,295.097
68.2,946.0,696.0,1745.8,35,302.13599999999997
89.7,1138.0,591.0,1637.3,35,312.586
79.0,1082.6,732.4,1562.0,35,321.889
28.7,1175.5,725.5,1526.3,35,330.30699999999996
70.1,888.3,1099.7,1397.9,35,340.32099999999997
94.6,751.1,1322.9,1287.4,35,350.175
53.2,861.2,1299.8,1241.8,35,361.425
123.7,728.5,1518.5,1085.3,35,376.219
46.5,907.6,1425.4,1076.5,35,387.087
84.6,775.1,1644.9,951.4,35,404.142
83.1,711.1,1794.9,866.9,35,426.843
46.3,552.5,2040.5,816.7,35,445.48800000000006
39.5,579.3,2099.7,737.5,35,475.07
43.3,335.5,2429.5,647.7,35,515.107
39.4,67.2,2784.8,564.6,35,568.7919999999999
0.0,58.0,2880.0,518.0,35,852.556
12.4,131.0,2894.0,418.6,35,1501.64
3.7,216.7,2894.3,341.3,35,1902.79
0.0,317.0,2880.0,259.0,35,2283.97
40.6,233.0,3051.0,131.4,35,2799.9
33.5,49.5,3320.5,52.5,35,3270.26
0.0,87.0,0.0,3369.0,69,127.14200000000001
2.1,160.3,12.7,3280.9,69,146.784
7.7,243.7,16.3,3188.3,69,161.565
1.6,293.0,53.0,3108.4,69,173.891
15.2,280.2,152.8,3007.8,69,185.75599999999997
26.7,320.9,198.1,2910.3,69,197.015
24.4,474.1,130.9,2826.6,69,205.10299999999998
16.1,424.9,267.1,2747.9,69,214.959
43.6,555.4,222.6,2634.4,69,222.62099999999998
47.8,609.9,255.1,2543.2,69,231.72099999999998
47.2,512.3,438.7,2457.8,69,241.138
25.8,736.1,300.9,2393.2,69,246.171
44.9,664.5,459.5,2287.1,69,254.862
52.1,602.0,608.0,2193.9,69,262.707
15.5,827.4,469.6,2143.5,69,270.16
62.7,700.6,682.4,2010.3,69,279.184
33.2,787.1,681.9,1953.8,69,287.014
45.4,822.7,733.3,1854.6,69,295.097
80.2,720.3,921.7,1733.8,69,302.13599999999997
55.2,699.3,1029.7,1671.8,69,312.586
53.7,859.6,955.4,1587.3,69,321.889
40.7,669.3,1231.7,1514.3,69,330.30699999999996
60.4,849.3,1138.7,1407.6,69,340.32099999999997
47.6,705.4,1368.6,1334.4,69,350.175
48.7,919.5,1241.5,1246.3,69,361.425
31.6,652.4,1594.6,1177.4,69,376.219
72.3,486.1,1846.9,1050.7,69,387.087
60.5,731.6,1688.4,975.5,69,404.142
86.9,571.0,1935.0,863.1,69,426.843
61.3,310.0,2283.0,801.7,69,445.48800000000006
29.9,454.3,2224.7,747.1,69,475.07
24.5,240.7,2524.3,666.5,69,515.107
52.0,24.0,2828.0,552.0,69,568.7919999999999
0.0,58.0,2880.0,518.0,69,852.556
0.5,135.9,2889.1,430.5,69,1501.64
10.0,210.4,2900.6,335.0,69,1902.79
5.5,223.9,2973.1,253.5,69,2283.97
20.0,171.0,3113.0,152.0,69,2799.9
16.8,277.8,3092.2,69.2,69,3270.26
6.0,83.0,4.0,3363.0,103,127.14200000000001
6.0,141.8,31.2,3277.0,103,146.784
16.9,227.8,32.2,3179.1,103,161.565
30.3,249.3,96.7,3079.7,103,173.891
21.5,242.1,190.9,3001.5,103,185.75599999999997
15.4,371.1,147.9,2921.6,103,197.015
29.7,384.0,221.0,2821.3,103,205.10299999999998
27.9,521.4,170.6,2736.1,103,214.959
18.1,459.0,319.0,2659.9,103,222.62099999999998
36.7,524.2,340.8,2554.3,103,231.72099999999998
28.0,552.5,398.5,2477.0,103,241.138
26.4,584.2,452.8,2392.6,103,246.171
25.6,581.8,542.2,2306.4,103,254.862
75.6,533.3,676.7,2170.4,103,262.707
34.5,676.2,620.8,2124.5,103,270.16
42.9,773.4,609.6,2030.1,103,279.184
40.3,611.5,857.5,1946.7,103,287.014
54.8,535.0,1021.0,1845.2,103,295.097
38.5,756.8,885.2,1775.5,103,302.13599999999997
32.5,688.9,1040.1,1694.5,103,312.586
50.4,686.6,1128.4,1590.6,103,321.889
38.9,723.7,1177.3,1516.1,103,330.30699999999996
49.7,786.8,1201.2,1418.3,103,340.32099999999997
42.6,758.5,1315.5,1339.4,103,350.175
37.1,565.5,1595.5,1257.9,103,361.425
32.3,600.7,1646.3,1176.7,103,376.219
25.4,680.8,1652.2,1097.6,103,387.087
30.8,483.4,1936.6,1005.2,103,404.142
45.0,312.4,2193.6,905.0,103,426.843
30.2,238.8,2354.2,832.8,103,445.48800000000006
13.7,401.1,2277.9,763.3,103,475.07
26.2,193.2,2571.8,664.8,103,515.107
25.2,98.8,2753.2,578.8,103,568.7919999999999
0.0,58.0,2880.0,518.0,103,852.556
0.0,115.0,2910.0,431.0,103,1501.64
13.9,110.4,3000.6,331.1,103,1902.79
15.3,142.3,3054.7,243.7,103,2283.97
10.8,173.6,3110.4,161.2,103,2799.9
3.0,124.0,3246.0,83.0,103,3270.26
2.2,83.2,3.8,3366.8,137,127.14200000000001
10.3,121.7,51.3,3272.7,137,146.784
5.1,192.3,67.7,3190.9,137,161.565
8.3,236.3,109.7,3101.7,137,173.891
29.6,315.0,118.0,2993.4,137,185.75599999999997
29.0,314.0,205.0,2908.0,137,197.015
32.7,363.0,242.0,2818.3,137,205.10299999999998
18.0,377.8,314.2,2746.0,137,214.959
33.6,399.6,378.4,2644.4,137,222.62099999999998
41.4,470.5,394.5,2549.6,137,231.72099999999998
46.1,424.9,526.1,2458.9,137,241.138
30.0,575.7,461.3,2389.0,137,246.171
32.7,602.2,521.8,2299.3,137,254.862
45.8,563.6,646.4,2200.2,137,262.707
24.0,649.5,647.5,2135.0,137,270.16
45.1,588.2,794.8,2027.9,137,279.184
32.2,682.8,786.2,1954.8,137,287.014
41.1,691.4,864.6,1858.9,137,295.097
50.7,643.9,998.1,1763.3,137,302.13599999999997
60.7,662.3,1066.7,1666.3,137,312.586
63.8,539.8,1275.2,1577.2,137,321.889
34.6,599.0,1302.0,1520.4,137,330.30699999999996
37.2,467.2,1520.8,1430.8,137,340.32099999999997
52.8,550.5,1523.5,1329.2,137,350.175
79.5,484.4,1676.6,1215.5,137,361.425
79.5,418.0,1829.0,1129.5,137,376.219
43.4,442.0,1891.0,1079.6,137,387.087
25.5,386.6,2033.4,1010.5,137,404.142
28.9,327.5,2178.5,921.1,137,426.843
24.0,344.5,2248.5,839.0,137,445.48800000000006
21.7,151.1,2527.9,755.3,137,475.07
14.9,229.9,2535.1,676.1,137,515.107
3.2,128.8,2723.2,600.8,137,568.7919999999999
1.3,53.3,2884.7,516.7,137,852.556
