FN,FP,TN,TP,sr,t
32547.8,3388.8,847.2,130191.2,1,470.5
0.0,8545.0,0.0,158430.0,1,484.0
0.0,13172.0,0.0,153803.0,1,487.5
15010.7,15181.2,1686.8,135096.3,1,490.5
0.0,20952.0,0.0,146023.0,1,501.0
14191.1,22557.6,2506.4,127719.9,1,530.5
41316.0,20478.5,8776.5,96404.0,1,546.5
13327.5,30330.0,3370.0,119947.5,1,555.5
51668.0,22683.0,15122.0,77502.0,1,557.5
24815.8,34316.8,8579.2,99263.2,1,559.5
48263.6,27789.6,18526.4,72395.4,1,561.0
34997.1,35222.6,15095.4,81659.9,1,563.5
33788.4,38042.9,16304.1,78839.6,1,569.0
32554.8,40921.3,17537.7,75961.2,1,579.0
31292.7,43866.2,18799.8,73016.3,1,601.0
20023.4,53486.4,13371.6,80093.6,1,632.5
38396.0,42591.0,28394.0,57594.0,1,656.5
45915.5,37572.0,37572.0,45915.5,1,693.0
35054.4,47603.4,31735.6,52581.6,1,731.5
16695.2,66799.2,16699.8,66780.8,1,772.5
55498.8,26307.3,61383.7,23785.2,1,807.5
60041.6,18384.6,73538.4,15010.4,1,819.5
56664.0,19229.0,76916.0,14166.0,1,830.0
40050.0,40090.0,60135.0,26700.0,1,844.0
50088.8,20872.8,83491.2,12522.2,1,870.5
23375.6,65121.6,43414.4,35063.4,1,927.0
37976.4,33816.9,78906.1,16275.6,1,1055.5
35060.9,35066.4,81821.6,15026.1,1,1259.5
13775.1,84740.6,36317.4,32141.9,1,1504.0
29220.1,37569.6,87662.4,12522.9,1,1698.0
26296.9,38822.4,90585.6,11270.1,1,1910.5
26715.2,26716.2,106864.8,6678.8,1,2388.0
26295.3,13775.8,123982.2,2921.7,1,2853.5
25045.0,0.0,141930.0,0.0,1,3307.0
16696.0,29221.0,116884.0,4174.0,1,3764.5
11687.2,45083.7,105195.3,5008.8,1,4552.0
12522.0,0.0,154453.0,0.0,1,5253.5
8344.0,0.0,158631.0,0.0,1,5875.0
4172.0,0.0,162803.0,0.0,1,6579.5
1304.0,781.7,3454.3,161435.0,1670,470.5
2978.8,2258.8,6286.2,155451.2,1670,484.0
4863.5,3511.2,9660.8,148939.5,1670,487.5
3731.8,2473.8,14394.2,146375.2,1670,490.5
1753.6,966.8,19985.2,144269.4,1670,501.0
1590.5,1468.3,23595.7,140320.5,1670,530.5
2277.1,1683.7,27571.3,135442.9,1670,546.5
5217.2,3673.9,30026.1,128057.8,1670,555.5
7627.8,5803.8,32001.2,121542.2,1670,557.5
9138.3,6137.8,36758.2,114940.7,1670,559.5
8390.5,6376.2,39939.8,112268.5,1670,561.0
6957.7,4998.5,45319.5,109699.3,1670,563.5
4903.5,3367.8,50979.2,107724.5,1670,569.0
3813.2,2523.5,55935.5,104702.8,1670,579.0
3185.1,1854.7,60811.3,101123.9,1670,601.0
2764.9,1695.3,65162.7,97352.1,1670,632.5
2848.8,1748.3,69236.7,93141.2,1670,656.5
3341.8,2327.2,72816.8,88489.2,1670,693.0
3984.5,2192.2,77146.8,83651.5,1670,731.5
4120.2,2777.6,80721.4,79355.8,1670,772.5
5231.8,3137.3,84553.7,74052.2,1670,807.5
6484.4,4711.6,87211.4,68567.6,1670,819.5
6044.5,4633.5,91511.5,64785.5,1670,830.0
5111.8,3109.0,97116.0,61638.2,1670,844.0
4642.3,2894.0,101470.0,57968.7,1670,870.5
3019.9,2042.4,106493.6,55419.1,1670,927.0
2872.8,2540.1,110182.9,51379.2,1670,1055.5
2862.8,1982.4,114905.6,47224.2,1670,1259.5
3834.8,2480.8,118577.2,42082.2,1670,1504.0
4125.5,2741.3,122490.7,37617.5,1670,1698.0
3619.3,2504.6,126903.4,33947.7,1670,1910.5
