FN,FP,TN,TP,sr,t
0.0,4236.0,0.0,162739.0,1,470.5
0.0,8545.0,0.0,158430.0,1,484.0
0.0,13172.0,0.0,153803.0,1,487.5
0.0,16868.0,0.0,150107.0,1,490.5
14602.3,18856.8,2095.2,131420.7,1,501.0
0.0,25064.0,0.0,141911.0,1,530.5
0.0,29255.0,0.0,137720.0,1,546.5
0.0,33700.0,0.0,133275.0,1,555.5
0.0,37805.0,0.0,129170.0,1,557.5
0.0,42896.0,0.0,124079.0,1,559.5
0.0,46316.0,0.0,120659.0,1,561.0
0.0,50318.0,0.0,116657.0,1,563.5
0.0,54347.0,0.0,112628.0,1,569.0
0.0,58459.0,0.0,108516.0,1,579.0
10430.9,56399.4,6266.6,93878.1,1,601.0
0.0,66858.0,0.0,100117.0,1,632.5
0.0,70985.0,0.0,95990.0,1,656.5
0.0,75144.0,0.0,91831.0,1,693.0
0.0,79339.0,0.0,87636.0,1,731.5
0.0,83499.0,0.0,83476.0,1,772.5
0.0,87691.0,0.0,79284.0,1,807.5
0.0,91923.0,0.0,75052.0,1,819.5
35415.0,48072.5,48072.5,35415.0,1,830.0
6675.0,90202.5,10022.5,60075.0,1,844.0
0.0,104364.0,0.0,62611.0,1,870.5
5843.9,97682.4,10853.6,52595.1,1,927.0
27126.0,56361.5,56361.5,27126.0,1,1055.5
5008.7,105199.2,11688.8,45078.3,1,1259.5
0.0,121058.0,0.0,45917.0,1,1504.0
12522.9,87662.4,37569.6,29220.1,1,1698.0
22540.2,51763.2,77644.8,15026.8,1,1910.5
16697.0,66790.5,66790.5,16697.0,1,2388.0
0.0,137758.0,0.0,29217.0,1,2853.5
0.0,141930.0,0.0,25045.0,1,3307.0
4174.0,116884.0,29221.0,16696.0,1,3764.5
16696.0,0.0,150279.0,0.0,1,4552.0
5008.8,92671.8,61781.2,7513.2,1,5253.5
834.4,142767.9,15863.1,7509.6,1,5875.0
4172.0,0.0,162803.0,0.0,1,6579.5
98.1,1683.8,2552.2,162640.9,1670,470.5
455.9,3635.8,4909.2,157974.1,1670,484.0
610.9,7811.5,5360.5,153192.1,1670,487.5
767.2,9499.2,7368.8,149339.8,1670,490.5
700.5,3248.3,17703.7,145322.5,1670,501.0
446.2,3187.7,21876.3,141464.8,1670,530.5
386.2,4645.3,24609.7,137333.8,1670,546.5
493.0,6910.2,26789.8,132782.0,1670,555.5
962.7,10310.1,27494.9,128207.3,1670,557.5
1081.1,14584.8,28311.2,122997.9,1670,559.5
1507.1,16333.2,29982.8,119151.9,1670,561.0
1692.9,17469.3,32848.7,114964.1,1670,563.5
1920.1,11230.4,43116.6,110707.9,1670,569.0
1317.8,10942.2,47516.8,107198.2,1670,579.0
1351.0,5114.0,57552.0,102958.0,1670,601.0
438.8,3738.5,63119.5,99678.2,1670,632.5
313.1,5869.0,65116.0,95676.9,1670,656.5
519.2,6479.6,68664.4,91311.8,1670,693.0
462.9,6413.0,72926.0,87173.1,1670,731.5
517.9,7995.2,75503.8,82958.1,1670,772.5
672.1,7667.9,80023.1,78611.9,1670,807.5
967.4,10045.6,81877.4,74084.6,1670,819.5
1056.8,11941.6,84203.4,69773.2,1670,830.0
1142.5,12267.2,87957.8,65607.5,1670,844.0
1027.6,9633.4,94730.6,61583.4,1670,870.5
488.0,5847.9,102688.1,57951.0,1670,927.0
427.3,5522.2,107200.8,53824.7,1670,1055.5
362.7,6164.2,110723.8,49724.3,1670,1259.5
361.2,6545.1,114512.9,45555.8,1670,1504.0
392.0,7722.8,117509.2,41351.0,1670,1698.0
452.3,6143.3,123264.7,37114.7,1670,1910.5
286.4,7611.9,125969.1,33107.6,1670,2388.0
505.0,8333.7,129424.3,28712.0,1670,2853.5
525.0,9264.4,132665.6,24520.0,1670,3307.0
385.5,8447.8,137657.2,20484.5,1670,3764.5
549.2,8492.3,141786.7,16146.8,1670,4552.0
518.6,8974.4,145478.6,12003.4,1670,5253.5
486.9,10007.8,148623.2,7857.1,1670,5875.0
550.6,8666.9,154136.1,3621.4,1670,6579.5
91.6,1199.0,3037.0,162647.4,3339,470.5
253.8,3699.5,4845.5,158176.2,3339,484.0
804.6,7015.2,6156.8,152998.4,3339,487.5
944.5,8645.1,8222.9,149162.5,3339,490.5
627.1,4053.3,16898.7,145395.9,3339,501.0
333.6,2987.5,22076.5,141577.4,3339,530.5
430.8,4093.2,25161.8,137289.2,3339,546.5
496.9,6099.3,27600.7,132778.1,3339,555.5
779.5,10690.6,27114.4,128390.5,3339,557.5
1126.0,14112.3,28783.7,122953.0,3339,559.5
1455.1,16339.6,29976.4,119203.9,3339,561.0
1985.2,16035.6,34282.4,114671.8,3339,563.5
1960.4,11449.2,42897.8,110667.6,3339,569.0
1287.5,10438.9,48020.1,107228.5,3339,579.0
1297.8,4983.6,57682.4,103011.2,3339,601.0
380.9,3249.9,63608.1,99736.1,3339,632.5
432.1,4316.1,66668.9,95557.9,3339,656.5
361.3,5615.4,69528.6,91469.7,3339,693.0
507.3,5997.4,73341.6,87128.7,3339,731.5
427.8,6587.8,76911.2,83048.2,3339,772.5
630.4,6183.1,81507.9,78653.6,3339,807.5
964.0,8794.6,83128.4,74088.0,3339,819.5
1153.8,10477.5,85667.5,69676.2,3339,830.0
1170.6,10587.9,89637.1,65579.4,3339,844.0
958.4,6800.1,97563.9,61652.6,3339,870.5
514.2,3521.5,105014.5,57924.8,3339,927.0
328.6,4474.5,108248.5,53923.4,3339,1055.5
263.0,4280.5,112607.5,49824.0,3339,1259.5
299.0,4495.9,116562.1,45618.0,3339,1504.0
282.0,5329.2,119902.8,41461.0,3339,1698.0
249.2,4962.6,124445.4,37317.8,3339,1910.5
282.9,4285.1,129295.9,33111.1,3339,2388.0
313.6,5184.1,132573.9,28903.4,3339,2853.5
271.7,5576.9,136353.1,24773.3,3339,3307.0
323.5,5610.3,140494.7,20546.5,3339,3764.5
240.4,5552.3,144726.7,16455.6,3339,4552.0
414.0,6628.9,147824.1,12108.0,3339,5253.5
439.1,5381.0,153250.0,7904.9,3339,5875.0
383.1,5357.1,157445.9,3788.9,3339,6579.5
115.7,1079.3,3156.7,162623.3,5008,470.5
302.8,3132.2,5412.8,158127.2,5008,484.0
558.7,7282.0,5890.0,153244.3,5008,487.5
810.2,8896.9,7971.1,149296.8,5008,490.5
581.3,3735.1,17216.9,145441.7,5008,501.0
434.8,2137.1,22926.9,141476.2,5008,530.5
404.5,3890.6,25364.4,137315.5,5008,546.5
484.3,5980.3,27719.7,132790.7,5008,555.5
809.9,10469.3,27335.7,128360.1,5008,557.5
1062.2,14060.4,28835.6,123016.8,5008,559.5
1371.4,16105.8,30210.2,119287.6,5008,561.0
1795.9,16553.1,33764.9,114861.1,5008,563.5
1604.2,12754.8,41592.2,111023.8,5008,569.0
1287.7,9688.5,48770.5,107228.3,5008,579.0
1333.4,4126.0,58540.0,102975.6,5008,601.0
391.0,3307.5,63550.5,99726.0,5008,632.5
311.7,4571.6,66413.4,95678.3,5008,656.5
368.2,4857.7,70286.3,91462.8,5008,693.0
381.4,4741.6,74597.4,87254.6,5008,731.5
493.0,5584.6,77914.4,82983.0,5008,772.5
717.9,5708.7,81982.3,78566.1,5008,807.5
821.7,8221.6,83701.4,74230.3,5008,819.5
966.5,10214.3,85930.7,69863.5,5008,830.0
1082.5,9443.2,90781.8,65667.5,5008,844.0
889.3,6451.4,97912.6,61721.7,5008,870.5
456.4,3329.5,105206.5,57982.6,5008,927.0
212.3,3721.6,109001.4,54039.7,5008,1055.5
195.2,3678.0,113210.0,49891.8,5008,1259.5
216.6,3518.1,117539.9,45700.4,5008,1504.0
201.5,3786.6,121445.4,41541.5,5008,1698.0
238.4,3728.3,125679.7,37328.6,5008,1910.5
226.5,3757.6,129823.4,33167.5,5008,2388.0
287.0,4731.6,133026.4,28930.0,5008,2853.5
310.6,4620.0,137310.0,24734.4,5008,3307.0
281.7,5063.9,141041.1,20588.3,5008,3764.5
286.5,5356.2,144922.8,16409.5,5008,4552.0
302.0,4842.1,149610.9,12220.0,5008,5253.5
532.5,4882.7,153748.3,7811.5,5008,5875.0
308.6,4590.3,158212.7,3863.4,5008,6579.5
103.4,1018.1,3217.9,162635.6,6677,470.5
273.3,3715.2,4829.8,158156.7,6677,484.0
599.9,7080.8,6091.2,153203.1,6677,487.5
879.5,8571.2,8296.8,149227.5,6677,490.5
509.3,4223.2,16728.8,145513.7,6677,501.0
312.4,2481.5,22582.5,141598.6,6677,530.5
360.8,3812.4,25442.6,137359.2,6677,546.5
509.4,5977.6,27722.4,132765.6,6677,555.5
781.1,9467.5,28337.5,128388.9,6677,557.5
1115.7,13827.1,29068.9,122963.3,6677,559.5
1377.2,16232.5,30083.5,119281.8,6677,561.0
1809.1,15730.4,34587.6,114847.9,6677,563.5
1700.4,11697.2,42649.8,110927.6,6677,569.0
1299.1,8428.1,50030.9,107216.9,6677,579.0
1341.9,4019.7,58646.3,102967.1,6677,601.0
309.3,3145.7,63712.3,99807.7,6677,632.5
320.2,3852.2,67132.8,95669.8,6677,656.5
343.4,4079.0,71065.0,91487.6,6677,693.0
395.5,4559.8,74779.2,87240.5,6677,731.5
512.8,5003.7,78495.3,82963.2,6677,772.5
621.8,4660.2,83030.8,78662.2,6677,807.5
921.5,6724.2,85198.8,74130.5,6677,819.5
921.0,9548.9,86596.1,69909.0,6677,830.0
1201.2,7960.3,92264.7,65548.8,6677,844.0
863.3,5572.9,98791.1,61747.7,6677,870.5
439.8,2680.5,105855.5,57999.2,6677,927.0
260.2,3459.5,109263.5,53991.8,6677,1055.5
174.4,2765.1,114122.9,49912.6,6677,1259.5
278.8,2863.0,118195.0,45638.2,6677,1504.0
244.1,3425.8,121806.2,41498.9,6677,1698.0
202.4,3286.9,126121.1,37364.6,6677,1910.5
200.5,2921.5,130659.5,33193.5,6677,2388.0
230.3,3956.5,133801.5,28986.7,6677,2853.5
218.7,4151.5,137778.5,24826.3,6677,3307.0
321.4,5150.4,140954.6,20548.6,6677,3764.5
301.7,4099.0,146180.0,16394.3,6677,4552.0
312.1,4374.7,150078.3,12209.9,6677,5253.5
477.3,5521.6,153109.4,7866.7,6677,5875.0
301.1,3758.0,159045.0,3870.9,6677,6579.5
92.5,916.2,3319.8,162646.5,8346,470.5
292.1,3214.1,5330.9,158137.9,8346,484.0
550.2,7160.6,6011.4,153252.8,8346,487.5
827.8,8359.8,8508.2,149279.2,8346,490.5
597.7,3769.5,17182.5,145425.3,8346,501.0
361.4,2242.5,22821.5,141549.6,8346,530.5
348.6,4002.2,25252.8,137371.4,8346,546.5
502.1,5651.4,28048.6,132772.9,8346,555.5
610.0,9806.3,27998.7,128560.0,8346,557.5
1146.5,13642.9,29253.1,122932.5,8346,559.5
1397.5,15829.6,30486.4,119261.5,8346,561.0
1748.2,16358.7,33959.3,114908.8,8346,563.5
1440.9,13487.1,40859.9,111187.1,8346,569.0
1141.3,9792.1,48666.9,107374.7,8346,579.0
1241.0,4434.0,58232.0,103068.0,8346,601.0
393.9,2767.8,64090.2,99723.1,8346,632.5
285.0,3546.6,67438.4,95705.0,8346,656.5
297.9,3724.7,71419.3,91533.1,8346,693.0
479.6,3936.1,75402.9,87156.4,8346,731.5
490.3,5054.8,78444.2,82985.7,8346,772.5
573.9,4540.6,83150.4,78710.1,8346,807.5
864.5,7155.4,84767.6,74187.5,8346,819.5
1029.4,9068.8,87076.2,69800.6,8346,830.0
1056.8,8274.5,91950.5,65693.2,8346,844.0
815.7,5676.1,98687.9,61795.3,8346,870.5
372.4,2898.0,105638.0,58066.6,8346,927.0
243.1,2967.1,109755.9,54008.9,8346,1055.5
169.4,2417.1,114470.9,49917.6,8346,1259.5
227.2,2707.1,118350.9,45689.8,8346,1504.0
220.5,2901.5,122330.5,41522.5,8346,1698.0
188.9,2676.1,126731.9,37378.1,8346,1910.5
213.1,2553.3,131027.7,33180.9,8346,2388.0
249.1,3318.5,134439.5,28967.9,8346,2853.5
237.1,3522.9,138407.1,24807.9,8346,3307.0
286.0,3543.1,142561.9,20584.0,8346,3764.5
261.9,3694.4,146584.6,16434.1,8346,4552.0
273.8,3543.6,150909.4,12248.2,8346,5253.5
346.5,4444.5,154186.5,7997.5,8346,5875.0
232.1,3160.0,159643.0,3939.9,8346,6579.5
87.6,913.7,3322.3,162651.4,10015,470.5
269.7,3512.4,5032.6,158160.3,10015,484.0
580.4,6996.0,6176.0,153222.6,10015,487.5
939.8,7886.2,8981.8,149167.2,10015,490.5
554.1,3361.9,17590.1,145468.9,10015,501.0
349.2,2152.9,22911.1,141561.8,10015,530.5
370.2,3807.7,25447.3,137349.8,10015,546.5
411.0,5896.2,27803.8,132864.0,10015,555.5
698.2,9313.6,28491.4,128471.8,10015,557.5
1191.7,13160.1,29735.9,122887.3,10015,559.5
1436.4,15528.3,30787.7,119222.6,10015,561.0
1754.9,15914.4,34403.6,114902.1,10015,563.5
1503.8,12318.1,42028.9,111124.2,10015,569.0
1114.2,10025.4,48433.6,107401.8,10015,579.0
1293.9,3743.5,58922.5,103015.1,10015,601.0
339.9,3001.9,63856.1,99777.1,10015,632.5
291.6,3558.2,67426.8,95698.4,10015,656.5
338.3,3769.0,71375.0,91492.7,10015,693.0
409.9,3709.4,75629.6,87226.1,10015,731.5
496.5,4759.3,78739.7,82979.5,10015,772.5
540.6,4422.9,83268.1,78743.4,10015,807.5
793.7,6567.9,85355.1,74258.3,10015,819.5
1059.2,8761.6,87383.4,69770.8,10015,830.0
1111.7,7751.7,92473.3,65638.3,10015,844.0
873.2,4483.2,99880.8,61737.8,10015,870.5
389.4,2555.6,105980.4,58049.6,10015,927.0
241.1,2724.8,109998.2,54010.9,10015,1055.5
133.0,2115.2,114772.8,49954.0,10015,1259.5
233.3,2524.8,118533.2,45683.7,10015,1504.0
184.1,2524.8,122707.2,41558.9,10015,1698.0
219.6,2424.2,126983.8,37347.4,10015,1910.5
151.1,2300.9,131280.1,33242.9,10015,2388.0
161.0,3043.8,134714.2,29056.0,10015,2853.5
193.0,2985.8,138944.2,24852.0,10015,3307.0
237.5,3535.2,142569.8,20632.5,10015,3764.5
260.1,2902.1,147376.9,16435.9,10015,4552.0
279.3,3945.5,150507.5,12242.7,10015,5253.5
365.9,4188.3,154442.7,7978.1,10015,5875.0
289.5,2976.9,159826.1,3882.5,10015,6579.5
76.2,1104.4,3131.6,162662.8,11684,470.5
282.1,3192.7,5352.3,158147.9,11684,484.0
604.8,6859.7,6312.3,153198.2,11684,487.5
827.2,8230.0,8638.0,149279.8,11684,490.5
521.6,3725.2,17226.8,145501.4,11684,501.0
347.0,2067.9,22996.1,141564.0,11684,530.5
368.0,3296.7,25958.3,137352.0,11684,546.5
449.6,5622.4,28077.6,132825.4,11684,555.5
662.3,9334.7,28470.3,128507.7,11684,557.5
1130.3,13683.7,29212.3,122948.7,11684,559.5
1444.7,15421.8,30894.2,119214.3,11684,561.0
1740.2,15836.7,34481.3,114916.8,11684,563.5
1507.1,12105.8,42241.2,111120.9,11684,569.0
1067.3,9952.1,48506.9,107448.7,11684,579.0
1280.9,3636.4,59029.6,103028.1,11684,601.0
327.8,2881.7,63976.3,99789.2,11684,632.5
304.8,3265.3,67719.7,95685.2,11684,656.5
313.6,3238.9,71905.1,91517.4,11684,693.0
356.0,3632.4,75706.6,87280.0,11684,731.5
515.3,4333.0,79166.0,82960.7,11684,772.5
560.2,4242.6,83448.4,78723.8,11684,807.5
784.2,6755.6,85167.4,74267.8,11684,819.5
933.3,8997.0,87148.0,69896.7,11684,830.0
1094.8,7320.5,92904.5,65655.2,11684,844.0
863.3,4833.6,99530.4,61747.7,11684,870.5
354.1,2451.4,106084.6,58084.9,11684,927.0
234.8,2733.4,109989.6,54017.2,11684,1055.5
148.3,1898.7,114989.3,49938.7,11684,1259.5
196.1,2486.9,118571.1,45720.9,11684,1504.0
172.9,2463.9,122768.1,41570.1,11684,1698.0
162.0,2232.0,127176.0,37405.0,11684,1910.5
124.7,1982.7,131598.3,33269.3,11684,2388.0
198.5,3040.2,134717.8,29018.5,11684,2853.5
176.4,3045.1,138884.9,24868.6,11684,3307.0
235.0,3614.0,142491.0,20635.0,11684,3764.5
223.8,3252.8,147026.2,16472.2,11684,4552.0
249.4,3097.4,151355.6,12272.6,11684,5253.5
378.8,3965.6,154665.4,7965.2,11684,5875.0
234.7,2991.3,159811.7,3937.3,11684,6579.5
77.1,943.0,3293.0,162661.9,13353,470.5
255.7,3265.3,5279.7,158174.3,13353,484.0
557.3,6958.7,6213.3,153245.7,13353,487.5
791.1,8208.9,8659.1,149315.9,13353,490.5
567.9,3171.3,17780.7,145455.1,13353,501.0
341.9,2139.5,22924.5,141569.1,13353,530.5
325.3,3749.9,25505.1,137394.7,13353,546.5
371.1,5714.8,27985.2,132903.9,13353,555.5
709.4,9154.3,28650.7,128460.6,13353,557.5
1128.4,13459.9,29436.1,122950.6,13353,559.5
1383.1,15514.0,30802.0,119275.9,13353,561.0
1776.9,15456.4,34861.6,114880.1,13353,563.5
1504.1,11575.4,42771.6,111123.9,13353,569.0
1239.1,8346.8,50112.2,107276.9,13353,579.0
1244.8,3664.9,59001.1,103064.2,13353,601.0
331.2,2640.2,64217.8,99785.8,13353,632.5
313.0,3125.6,67859.4,95677.0,13353,656.5
356.7,3080.5,72063.5,91474.3,13353,693.0
346.4,3731.6,75607.4,87289.6,13353,731.5
468.9,4405.5,79093.5,83007.1,13353,772.5
514.3,4063.0,83628.0,78769.7,13353,807.5
771.3,6503.4,85419.6,74280.7,13353,819.5
974.9,8809.6,87335.4,69855.1,13353,830.0
1071.4,7335.3,92889.7,65678.6,13353,844.0
888.1,4432.5,99931.5,61722.9,13353,870.5
383.3,2139.1,106396.9,58055.7,13353,927.0
193.3,2598.0,110125.0,54058.7,13353,1055.5
151.8,1765.6,115122.4,49935.2,13353,1259.5
228.6,2129.8,118928.2,45688.4,13353,1504.0
195.1,2255.1,122976.9,41547.9,13353,1698.0
163.9,2025.0,127383.0,37403.1,13353,1910.5
155.9,1998.9,131582.1,33238.1,13353,2388.0
152.2,2333.3,135424.7,29064.8,13353,2853.5
189.7,2527.4,139402.6,24855.3,13353,3307.0
218.4,2606.9,143498.1,20651.6,13353,3764.5
258.3,2740.5,147538.5,16437.7,13353,4552.0
250.3,2918.9,151534.1,12271.7,13353,5253.5
391.9,3524.7,155106.3,7952.1,13353,5875.0
250.6,2688.8,160114.2,3921.4,13353,6579.5
78.0,849.1,3386.9,162661.0,15022,470.5
244.5,3228.4,5316.6,158185.5,15022,484.0
555.8,6690.6,6481.4,153247.2,15022,487.5
903.2,7650.8,9217.2,149203.8,15022,490.5
541.5,3244.6,17707.4,145481.5,15022,501.0
369.7,2096.1,22967.9,141541.3,15022,530.5
316.7,3606.1,25648.9,137403.3,15022,546.5
430.8,5787.7,27912.3,132844.2,15022,555.5
597.7,9346.9,28458.1,128572.3,15022,557.5
1013.5,13454.9,29441.1,123065.5,15022,559.5
1362.4,15627.9,30688.1,119296.6,15022,561.0
1636.4,15860.1,34457.9,115020.6,15022,563.5
1541.2,11692.0,42655.0,111086.8,15022,569.0
1096.5,9105.7,49353.3,107419.5,15022,579.0
1221.6,3836.7,58829.3,103087.4,15022,601.0
348.5,2462.7,64395.3,99768.5,15022,632.5
294.9,3137.9,67847.1,95695.1,15022,656.5
284.3,3233.5,71910.5,91546.7,15022,693.0
370.3,3361.3,75977.7,87265.7,15022,731.5
472.9,3979.4,79519.6,83003.1,15022,772.5
570.0,3649.9,84041.1,78714.0,15022,807.5
765.1,6297.9,85625.1,74286.9,15022,819.5
983.5,8389.9,87755.1,69846.5,15022,830.0
1033.7,7101.4,93123.6,65716.3,15022,844.0
841.5,4421.1,99942.9,61769.5,15022,870.5
347.5,2149.2,106386.8,58091.5,15022,927.0
198.8,2311.3,110411.7,54053.2,15022,1055.5
111.8,1765.5,115122.5,49975.2,15022,1259.5
229.3,2134.3,118923.7,45687.7,15022,1504.0
163.8,2157.3,123074.7,41579.2,15022,1698.0
156.3,2155.6,127252.4,37410.7,15022,1910.5
141.5,1970.4,131610.6,33252.5,15022,2388.0
169.5,2549.8,135208.2,29047.5,15022,2853.5
164.5,2395.3,139534.7,24880.5,15022,3307.0
199.7,2716.9,143388.1,20670.3,15022,3764.5
220.5,2306.3,147972.7,16475.5,15022,4552.0
224.8,3035.7,151417.3,12297.2,15022,5253.5
337.8,3551.9,155079.1,8006.2,15022,5875.0
242.9,2632.0,160171.0,3929.1,15022,6579.5
92.1,1002.1,3233.9,162646.9,16691,470.5
219.0,3433.7,5111.3,158211.0,16691,484.0
556.6,6629.9,6542.1,153246.4,16691,487.5
886.8,7570.2,9297.8,149220.2,16691,490.5
516.2,3404.0,17548.0,145506.8,16691,501.0
342.2,2112.7,22951.3,141568.8,16691,530.5
304.6,3405.5,25849.5,137415.4,16691,546.5
397.0,5743.9,27956.1,132878.0,16691,555.5
644.0,9398.3,28406.7,128526.0,16691,557.5
1078.6,13585.2,29310.8,123000.4,16691,559.5
1298.5,15651.8,30664.2,119360.5,16691,561.0
1671.4,15613.1,34704.9,114985.6,16691,563.5
1530.6,11331.1,43015.9,111097.4,16691,569.0
1176.4,7835.1,50623.9,107339.6,16691,579.0
1256.7,3488.8,59177.2,103052.3,16691,601.0
338.2,2540.7,64317.3,99778.8,16691,632.5
287.0,3202.7,67782.3,95703.0,16691,656.5
305.7,2962.5,72181.5,91525.3,16691,693.0
359.1,3378.8,75960.2,87276.9,16691,731.5
391.2,4171.5,79327.5,83084.8,16691,772.5
528.6,3739.1,83951.9,78755.4,16691,807.5
764.7,6203.1,85719.9,74287.3,16691,819.5
942.2,8380.1,87764.9,69887.8,16691,830.0
1053.0,6925.0,93300.0,65697.0,16691,844.0
863.8,4402.0,99962.0,61747.2,16691,870.5
336.2,2200.5,106335.5,58102.8,16691,927.0
211.6,2229.7,110493.3,54040.4,16691,1055.5
123.6,1529.1,115358.9,49963.4,16691,1259.5
198.3,2141.3,118916.7,45718.7,16691,1504.0
201.9,2189.7,123042.3,41541.1,16691,1698.0
178.3,1740.5,127667.5,37388.7,16691,1910.5
130.5,1794.1,131786.9,33263.5,16691,2388.0
153.9,2487.2,135270.8,29063.1,16691,2853.5
154.6,2347.0,139583.0,24890.4,16691,3307.0
228.9,2847.5,143257.5,20641.1,16691,3764.5
205.7,2514.1,147764.9,16490.3,16691,4552.0
211.9,2906.1,151546.9,12310.1,16691,5253.5
335.8,3282.4,155348.6,8008.2,16691,5875.0
257.2,2312.8,160490.2,3914.8,16691,6579.5
77.6,930.2,3305.8,162661.4,18360,470.5
249.6,3196.6,5348.4,158180.4,18360,484.0
533.8,6699.9,6472.1,153269.2,18360,487.5
847.8,7651.1,9216.9,149259.2,18360,490.5
534.7,3129.0,17823.0,145488.3,18360,501.0
342.7,2205.4,22858.6,141568.3,18360,530.5
356.1,3324.1,25930.9,137363.9,18360,546.5
390.9,5747.4,27952.6,132884.1,18360,555.5
672.5,9322.1,28482.9,128497.5,18360,557.5
1021.7,13368.8,29527.2,123057.3,18360,559.5
1212.2,15626.9,30689.1,119446.8,18360,561.0
1592.2,15823.4,34494.6,115064.8,18360,563.5
1469.7,11446.2,42900.8,111158.3,18360,569.0
1080.6,8889.4,49569.6,107435.4,18360,579.0
1219.1,3644.5,59021.5,103089.9,18360,601.0
311.5,2309.9,64548.1,99805.5,18360,632.5
292.9,2820.4,68164.6,95697.1,18360,656.5
331.4,2834.3,72309.7,91499.6,18360,693.0
332.8,3340.0,75999.0,87303.2,18360,731.5
469.8,3805.7,79693.3,83006.2,18360,772.5
573.6,3482.2,84208.8,78710.4,18360,807.5
720.3,6221.3,85701.7,74331.7,18360,819.5
934.7,8359.2,87785.8,69895.3,18360,830.0
1028.8,6978.9,93246.1,65721.2,18360,844.0
836.0,4088.9,100275.1,61775.0,18360,870.5
362.9,1918.7,106617.3,58076.1,18360,927.0
199.8,2180.4,110542.6,54052.2,18360,1055.5
136.4,1377.2,115510.8,49950.6,18360,1259.5
196.5,2098.0,118960.0,45720.5,18360,1504.0
180.7,1935.7,123296.3,41562.3,18360,1698.0
139.6,1905.1,127502.9,37427.4,18360,1910.5
115.4,1690.3,131890.7,33278.6,18360,2388.0
129.5,2156.9,135601.1,29087.5,18360,2853.5
165.5,2392.7,139537.3,24879.5,18360,3307.0
201.5,2454.0,143651.0,20668.5,18360,3764.5
208.6,2255.3,148023.7,16487.4,18360,4552.0
212.7,2679.8,151773.2,12309.3,18360,5253.5
282.6,3219.1,155411.9,8061.4,18360,5875.0
231.5,2402.0,160401.0,3940.5,18360,6579.5
90.0,848.3,3387.7,162649.0,20029,470.5
262.7,3164.7,5380.3,158167.3,20029,484.0
577.4,6564.5,6607.5,153225.6,20029,487.5
753.9,7880.2,8987.8,149353.1,20029,490.5
523.7,3210.4,17741.6,145499.3,20029,501.0
361.8,2183.7,22880.3,141549.2,20029,530.5
306.5,3259.1,25995.9,137413.5,20029,546.5
390.8,5679.9,28020.1,132884.2,20029,555.5
667.0,9210.8,28594.2,128503.0,20029,557.5
1057.3,13200.3,29695.7,123021.7,20029,559.5
1296.9,15351.7,30964.3,119362.1,20029,561.0
1634.6,15374.4,34943.6,115022.4,20029,563.5
1445.5,11281.0,43066.0,111182.5,20029,569.0
1049.1,8446.9,50012.1,107466.9,20029,579.0
1228.9,3485.6,59180.4,103080.1,20029,601.0
306.9,2384.5,64473.5,99810.1,20029,632.5
283.6,2964.6,68020.4,95706.4,20029,656.5
