FN,FP,TN,TP,sr,t
0.0,26.0,0.0,998.0,1,203.53
0.0,52.0,0.0,972.0,1,206.22666666666697
94.7,69.3,7.7,852.3,1,211.27333333333303
0.0,103.0,0.0,921.0,1,213.99666666666698
89.5,116.1,12.9,805.5,1,215.47
86.9,139.5,15.5,782.1,1,216.91333333333301
84.4,162.0,18.0,759.6,1,218.296666666667
81.9,184.5,20.5,737.1,1,219.62666666666698
79.3,207.9,23.1,713.7,1,221.333333333333
230.1,179.9,77.1,536.9,1,223.33666666666699
296.8,169.2,112.8,445.2,1,225.62
214.8,215.6,92.4,501.2,1,227.64
138.2,266.4,66.6,552.8,1,229.206666666667
66.5,323.1,35.9,598.5,1,230.68666666666698
191.7,269.5,115.5,447.3,1,231.75666666666697
122.8,328.0,82.0,491.2,1,232.7
235.2,261.6,174.4,352.8,1,233.793333333333
281.5,230.5,230.5,281.5,1,234.69666666666697
214.8,292.2,194.8,322.2,1,235.85
306.6,205.2,307.8,204.4,1,236.95
340.2,161.4,376.6,145.8,1,238.24666666666698
230.0,282.0,282.0,230.0,1,239.926666666667
435.0,0.0,589.0,0.0,1,241.69333333333302
163.6,369.0,246.0,245.4,1,243.52333333333303
153.2,384.6,256.4,229.8,1,245.49666666666698
214.8,266.4,399.6,143.2,1,246.94
265.6,138.4,553.6,66.4,1,247.99333333333303
184.2,286.8,430.2,122.8,1,248.97
224.8,148.6,594.4,56.2,1,249.66333333333301
153.0,307.6,461.4,102.0,1,250.53333333333302
138.0,317.6,476.4,92.0,1,251.31
162.4,164.2,656.8,40.6,1,252.14
179.0,0.0,845.0,0.0,1,253.15
137.7,87.1,783.9,15.3,1,254.393333333333
101.6,179.4,717.6,25.4,1,256.226666666667
71.4,276.6,645.4,30.6,1,259.5
76.0,0.0,948.0,0.0,1,262.113333333333
50.0,0.0,974.0,0.0,1,264.18
25.0,0.0,999.0,0.0,1,266.32333333333304
25.2,25.6,0.4,972.8,11,203.53
144.7,43.1,8.9,827.3,11,206.22666666666697
84.0,58.6,18.4,863.0,11,211.27333333333303
43.2,95.0,8.0,877.8,11,213.99666666666698
173.2,71.8,57.2,721.8,11,215.47
152.4,102.6,52.4,716.6,11,216.91333333333301
178.1,102.1,77.9,665.9,11,218.296666666667
236.3,82.9,122.1,582.7,11,219.62666666666698
154.9,104.3,126.7,638.1,11,221.333333333333
213.6,73.8,183.2,553.4,11,223.33666666666699
151.6,126.4,155.6,590.4,11,225.62
165.3,127.7,180.3,550.7,11,227.64
223.6,121.4,211.6,467.4,11,229.206666666667
172.6,147.6,211.4,492.4,11,230.68666666666698
201.4,138.4,246.6,437.6,11,231.75666666666697
178.8,102.4,307.6,435.2,11,232.7
332.9,90.5,345.5,255.1,11,233.793333333333
210.8,172.6,288.4,352.2,11,234.69666666666697
246.9,132.3,354.7,290.1,11,235.85
204.9,180.3,332.7,306.1,11,236.95
230.7,90.3,447.7,255.3,11,238.24666666666698
169.5,144.7,419.3,290.5,11,239.926666666667
237.4,122.4,466.6,197.6,11,241.69333333333302
181.0,92.0,523.0,228.0,11,243.52333333333303
187.5,188.5,452.5,195.5,11,245.49666666666698
180.4,78.4,587.6,177.6,11,246.94
206.1,117.3,574.7,125.9,11,247.99333333333303
150.3,176.1,540.9,156.7,11,248.97
177.2,88.2,654.8,103.8,11,249.66333333333301
157.0,132.4,636.6,98.0,11,250.53333333333302
153.3,128.1,665.9,76.7,11,251.31
151.4,127.6,693.4,51.6,11,252.14
117.7,117.9,727.1,61.3,11,253.15
136.6,34.8,836.2,16.4,11,254.393333333333
108.2,96.4,800.6,18.8,11,256.226666666667
65.4,104.2,817.8,36.6,11,259.5
58.4,84.8,863.2,17.6,11,262.113333333333
39.7,117.7,856.3,10.3,11,264.18
25.0,0.0,999.0,0.0,11,266.32333333333304
66.4,15.6,10.4,931.6,21,203.53
136.9,35.3,16.7,835.1,21,206.22666666666697
105.9,42.1,34.9,841.1,21,211.27333333333303
101.3,44.3,58.7,819.7,21,213.99666666666698
130.5,41.9,87.1,764.5,21,215.47
107.6,45.0,110.0,761.4,21,216.91333333333301
98.2,67.0,113.0,745.8,21,218.296666666667
72.2,59.6,145.4,746.8,21,219.62666666666698
116.5,65.9,165.1,676.5,21,221.333333333333
125.6,49.8,207.2,641.4,21,223.33666666666699
130.3,98.7,183.3,611.7,21,225.62
175.0,124.6,183.4,541.0,21,227.64
151.8,107.2,225.8,539.2,21,229.206666666667
126.6,108.0,251.0,538.4,21,230.68666666666698
148.8,79.4,305.6,490.2,21,231.75666666666697
153.5,115.5,294.5,460.5,21,232.7
145.8,133.8,302.2,442.2,21,233.793333333333
153.3,108.7,352.3,409.7,21,234.69666666666697
176.6,68.4,418.6,360.4,21,235.85
143.9,112.9,400.1,367.1,21,236.95
112.5,119.3,418.7,373.5,21,238.24666666666698
167.6,117.2,446.8,292.4,21,239.926666666667
181.5,104.9,484.1,253.5,21,241.69333333333302
138.0,106.6,508.4,271.0,21,243.52333333333303
132.5,120.7,520.3,250.5,21,245.49666666666698
182.9,87.3,578.7,175.1,21,246.94
183.4,88.2,603.8,148.6,21,247.99333333333303
196.2,62.0,655.0,110.8,21,248.97
167.2,103.8,639.2,113.8,21,249.66333333333301
161.1,98.1,670.9,93.9,21,250.53333333333302
130.6,137.4,656.6,99.4,21,251.31
132.3,95.7,725.3,70.7,21,252.14
140.4,57.4,787.6,38.6,21,253.15
104.5,92.3,778.7,48.5,21,254.393333333333
89.5,96.9,800.1,37.5,21,256.226666666667
68.9,94.9,827.1,33.1,21,259.5
68.1,43.3,904.7,7.9,21,262.113333333333
39.1,65.9,908.1,10.9,21,264.18
23.8,24.4,974.6,1.2,21,266.32333333333304
60.4,22.4,3.6,937.6,31,203.53
80.4,23.6,28.4,891.6,31,206.22666666666697
65.2,20.6,56.4,881.8,31,211.27333333333303
87.0,36.4,66.6,834.0,31,213.99666666666698
80.9,56.3,72.7,814.1,31,215.47
58.6,28.0,127.0,810.4,31,216.91333333333301
71.3,46.5,133.5,772.7,31,218.296666666667
113.6,43.4,161.6,705.4,31,219.62666666666698
111.7,57.9,173.1,681.3,31,221.333333333333
131.0,61.6,195.4,636.0,31,223.33666666666699
81.4,101.0,181.0,660.6,31,225.62
162.7,86.7,221.3,553.3,31,227.64
140.7,57.7,275.3,550.3,31,229.206666666667
158.9,57.1,301.9,506.1,31,230.68666666666698
134.3,77.7,307.3,504.7,31,231.75666666666697
149.0,95.0,315.0,465.0,31,232.7
119.8,59.8,376.2,468.2,31,233.793333333333
117.9,92.5,368.5,445.1,31,234.69666666666697
137.2,73.8,413.2,399.8,31,235.85
73.6,74.6,438.4,437.4,31,236.95
104.0,50.0,488.0,382.0,31,238.24666666666698
122.6,78.6,485.4,337.4,31,239.926666666667
78.5,117.1,471.9,356.5,31,241.69333333333302
127.3,115.1,499.9,281.7,31,243.52333333333303
151.5,82.1,558.9,231.5,31,245.49666666666698
116.5,65.7,600.3,241.5,31,246.94
170.1,90.9,601.1,161.9,31,247.99333333333303
165.7,73.1,643.9,141.3,31,248.97
137.6,93.4,649.6,143.4,31,249.66333333333301
130.7,99.7,669.3,124.3,31,250.53333333333302
141.1,87.1,706.9,88.9,31,251.31
128.6,85.6,735.4,74.4,31,252.14
137.6,73.8,771.2,41.4,31,253.15
99.3,77.5,793.5,53.7,31,254.393333333333
85.8,74.0,823.0,41.2,31,256.226666666667
46.7,82.3,839.7,55.3,31,259.5
58.9,40.5,907.5,17.1,31,262.113333333333
44.8,33.2,940.8,5.2,31,264.18
24.3,12.1,986.9,0.7,31,266.32333333333304
49.1,17.5,8.5,948.9,41,203.53
58.0,20.4,31.6,914.0,41,206.22666666666697
42.9,20.7,56.3,904.1,41,211.27333333333303
40.1,27.9,75.1,880.9,41,213.99666666666698
54.8,30.2,98.8,840.2,41,215.47
71.2,34.2,120.8,797.8,41,216.91333333333301
78.7,47.5,132.5,765.3,41,218.296666666667
63.3,31.5,173.5,755.7,41,219.62666666666698
78.9,66.7,164.3,714.1,41,221.333333333333
107.9,44.9,212.1,659.1,41,223.33666666666699
105.0,86.2,195.8,637.0,41,225.62
117.6,60.8,247.2,598.4,41,227.64
133.7,41.1,291.9,557.3,41,229.206666666667
150.4,58.2,300.8,514.6,41,230.68666666666698
138.9,47.1,337.9,500.1,41,231.75666666666697
110.8,47.2,362.8,503.2,41,232.7
129.7,66.5,369.5,458.3,41,233.793333333333
86.8,48.6,412.4,476.2,41,234.69666666666697
106.7,56.1,430.9,430.3,41,235.85
79.2,38.6,474.4,431.8,41,236.95
89.2,83.2,454.8,396.8,41,238.24666666666698
61.7,56.1,507.9,398.3,41,239.926666666667
77.7,68.3,520.7,357.3,41,241.69333333333302
103.2,81.4,533.6,305.8,41,243.52333333333303
95.5,99.7,541.3,287.5,41,245.49666666666698
140.6,64.2,601.8,217.4,41,246.94
154.8,66.0,626.0,177.2,41,247.99333333333303
133.4,108.0,609.0,173.6,41,248.97
114.7,123.3,619.7,166.3,41,249.66333333333301
142.7,105.3,663.7,112.3,41,250.53333333333302
154.4,62.0,732.0,75.6,41,251.31
122.5,82.7,738.3,80.5,41,252.14
114.9,84.7,760.3,64.1,41,253.15
107.5,60.1,810.9,45.5,41,254.393333333333
86.9,62.3,834.7,40.1,41,256.226666666667
60.8,48.4,873.6,41.2,41,259.5
51.0,61.4,886.6,25.0,41,262.113333333333
41.8,49.4,924.6,8.2,41,264.18
23.6,11.4,987.6,1.4,41,266.32333333333304
52.7,17.9,8.1,945.3,51,203.53
43.1,24.7,27.3,928.9,51,206.22666666666697
36.5,11.1,65.9,910.5,51,211.27333333333303
49.8,8.8,94.2,871.2,51,213.99666666666698
47.9,20.1,108.9,847.1,51,215.47
54.2,23.6,131.4,814.8,51,216.91333333333301
41.7,40.9,139.1,802.3,51,218.296666666667
55.5,30.1,174.9,763.5,51,219.62666666666698
76.3,32.1,198.9,716.7,51,221.333333333333
68.2,50.0,207.0,698.8,51,223.33666666666699
110.7,43.9,238.1,631.3,51,225.62
110.4,60.0,248.0,605.6,51,227.64
104.6,60.0,273.0,586.4,51,229.206666666667
72.0,34.2,324.8,593.0,51,230.68666666666698
96.1,49.1,335.9,542.9,51,231.75666666666697
67.9,37.9,372.1,546.1,51,232.7
79.9,58.3,377.7,508.1,51,233.793333333333
99.9,45.7,415.3,463.1,51,234.69666666666697
111.3,44.7,442.3,425.7,51,235.85
73.9,52.5,460.5,437.1,51,236.95
57.6,43.6,494.4,428.4,51,238.24666666666698
84.6,66.2,497.8,375.4,51,239.926666666667
70.0,76.6,512.4,365.0,51,241.69333333333302
53.2,69.8,545.2,355.8,51,243.52333333333303
89.0,86.8,554.2,294.0,51,245.49666666666698
105.1,83.1,582.9,252.9,51,246.94
107.1,104.7,587.3,224.9,51,247.99333333333303
97.1,113.3,603.7,209.9,51,248.97
126.5,104.7,638.3,154.5,51,249.66333333333301
110.6,143.6,625.4,144.4,51,250.53333333333302
137.2,121.6,672.4,92.8,51,251.31
129.9,102.9,718.1,73.1,51,252.14
104.3,80.5,764.5,74.7,51,253.15
94.6,96.8,774.2,58.4,51,254.393333333333
74.7,53.3,843.7,52.3,51,256.226666666667
67.7,45.7,876.3,34.3,51,259.5
57.9,37.9,910.1,18.1,51,262.113333333333
44.4,23.2,950.8,5.6,51,264.18
23.1,23.7,975.3,1.9,51,266.32333333333304
84.6,11.4,14.6,913.4,61,203.53
60.2,22.6,29.4,911.8,61,206.22666666666697
51.9,26.5,50.5,895.1,61,211.27333333333303
30.2,24.4,78.6,890.8,61,213.99666666666698
46.5,15.5,113.5,848.5,61,215.47
35.2,15.8,139.2,833.8,61,216.91333333333301
55.4,30.6,149.4,788.6,61,218.296666666667
73.8,35.6,169.4,745.2,61,219.62666666666698
67.5,31.3,199.7,725.5,61,221.333333333333
66.2,35.2,221.8,700.8,61,223.33666666666699
91.9,41.1,240.9,650.1,61,225.62
72.7,47.9,260.1,643.3,61,227.64
68.8,49.8,283.2,622.2,61,229.206666666667
84.5,33.9,325.1,580.5,61,230.68666666666698
76.0,51.4,333.6,563.0,61,231.75666666666697
81.0,44.6,365.4,533.0,61,232.7
92.5,37.3,398.7,495.5,61,233.793333333333
67.9,48.9,412.1,495.1,61,234.69666666666697
72.1,40.7,446.3,464.9,61,235.85
76.9,39.5,473.5,434.1,61,236.95
76.5,28.9,509.1,409.5,61,238.24666666666698
60.0,46.4,517.6,400.0,61,239.926666666667
70.2,52.8,536.2,364.8,61,241.69333333333302
92.7,50.1,564.9,316.3,61,243.52333333333303
81.1,50.1,590.9,301.9,61,245.49666666666698
77.2,47.2,618.8,280.8,61,246.94
91.7,86.1,605.9,240.3,61,247.99333333333303
116.7,104.1,612.9,190.3,61,248.97
124.0,100.6,642.4,157.0,61,249.66333333333301
138.5,81.9,687.1,116.5,61,250.53333333333302
119.4,78.2,715.8,110.6,61,251.31
117.2,79.0,742.0,85.8,61,252.14
