FN,FP,TN,TP,sr,t
0.0,26.0,0.0,998.0,1,203.53
0.0,52.0,0.0,972.0,1,206.22666666666697
0.0,77.0,0.0,947.0,1,211.27333333333303
0.0,103.0,0.0,921.0,1,213.99666666666698
0.0,129.0,0.0,895.0,1,215.47
0.0,155.0,0.0,869.0,1,216.91333333333301
84.4,162.0,18.0,759.6,1,218.296666666667
0.0,205.0,0.0,819.0,1,219.62666666666698
0.0,231.0,0.0,793.0,1,221.333333333333
76.7,231.3,25.7,690.3,1,223.33666666666699
74.2,253.8,28.2,667.8,1,225.62
0.0,308.0,0.0,716.0,1,227.64
69.1,299.7,33.3,621.9,1,229.206666666667
0.0,359.0,0.0,665.0,1,230.68666666666698
0.0,385.0,0.0,639.0,1,231.75666666666697
0.0,410.0,0.0,614.0,1,232.7
58.8,392.4,43.6,529.2,1,233.793333333333
0.0,461.0,0.0,563.0,1,234.69666666666697
0.0,487.0,0.0,537.0,1,235.85
51.1,461.7,51.3,459.9,1,236.95
0.0,538.0,0.0,486.0,1,238.24666666666698
46.0,507.6,56.4,414.0,1,239.926666666667
0.0,589.0,0.0,435.0,1,241.69333333333302
40.9,553.5,61.5,368.1,1,243.52333333333303
0.0,641.0,0.0,383.0,1,245.49666666666698
107.4,466.2,199.8,250.6,1,246.94
33.2,622.8,69.2,298.8,1,247.99333333333303
0.0,717.0,0.0,307.0,1,248.97
0.0,743.0,0.0,281.0,1,249.66333333333301
204.0,153.8,615.2,51.0,1,250.53333333333302
92.0,476.4,317.6,138.0,1,251.31
0.0,821.0,0.0,203.0,1,252.14
89.5,422.5,422.5,89.5,1,253.15
76.5,435.5,435.5,76.5,1,254.393333333333
50.8,538.2,358.8,76.2,1,256.226666666667
0.0,922.0,0.0,102.0,1,259.5
38.0,474.0,474.0,38.0,1,262.113333333333
45.0,97.4,876.6,5.0,1,264.18
25.0,0.0,999.0,0.0,1,266.32333333333304
0.0,26.0,0.0,998.0,11,203.53
0.0,52.0,0.0,972.0,11,206.22666666666697
0.0,77.0,0.0,947.0,11,211.27333333333303
0.0,103.0,0.0,921.0,11,213.99666666666698
8.5,124.7,4.3,886.5,11,215.47
17.4,146.8,8.2,851.6,11,216.91333333333301
0.0,180.0,0.0,844.0,11,218.296666666667
16.5,183.1,21.9,802.5,11,219.62666666666698
12.2,198.4,32.6,780.8,11,221.333333333333
7.9,220.1,36.9,759.1,11,223.33666666666699
19.1,265.9,16.1,722.9,11,225.62
15.5,263.9,44.1,700.5,11,227.64
11.9,312.9,20.1,679.1,11,229.206666666667
24.4,337.0,22.0,640.6,11,230.68666666666698
22.8,321.4,63.6,616.2,11,231.75666666666697
9.5,393.9,16.1,604.5,11,232.7
40.1,296.9,139.1,547.9,11,233.793333333333
25.4,360.8,100.2,537.6,11,234.69666666666697
38.0,364.6,122.4,499.0,11,235.85
41.4,264.8,248.2,469.6,11,236.95
31.2,350.0,188.0,454.8,11,238.24666666666698
64.4,406.8,157.2,395.6,11,239.926666666667
48.7,504.1,84.9,386.3,11,241.69333333333302
84.1,413.5,201.5,324.9,11,243.52333333333303
62.6,343.6,297.4,320.4,11,245.49666666666698
34.1,428.1,237.9,323.9,11,246.94
37.5,422.3,269.7,294.5,11,247.99333333333303
26.3,391.3,325.7,280.7,11,248.97
26.6,553.6,189.4,254.4,11,249.66333333333301
45.9,258.9,510.1,209.1,11,250.53333333333302
59.1,320.3,473.7,170.9,11,251.31
91.4,353.2,467.8,111.6,11,252.14
25.6,486.6,358.4,153.4,11,253.15
24.1,383.1,487.9,128.9,11,254.393333333333
74.7,171.7,725.3,52.3,11,256.226666666667
8.4,562.4,359.6,93.6,11,259.5
37.6,192.0,756.0,38.4,11,262.113333333333
50.0,0.0,974.0,0.0,11,264.18
25.0,0.0,999.0,0.0,11,266.32333333333304
0.0,26.0,0.0,998.0,21,203.53
0.0,52.0,0.0,972.0,21,206.22666666666697
15.3,47.5,29.5,931.7,21,211.27333333333303
3.2,93.4,9.6,917.8,21,213.99666666666698
13.5,99.3,29.7,881.5,21,215.47
14.5,135.1,19.9,854.5,21,216.91333333333301
0.0,180.0,0.0,844.0,21,218.296666666667
6.3,179.3,25.7,812.7,21,219.62666666666698
3.8,226.8,4.2,789.2,21,221.333333333333
6.4,185.0,72.0,760.6,21,223.33666666666699
5.0,249.4,32.6,737.0,21,225.62
15.7,248.5,59.5,700.3,21,227.64
24.2,208.4,124.6,666.8,21,229.206666666667
38.6,220.4,138.6,626.4,21,230.68666666666698
30.1,115.9,269.1,608.9,21,231.75666666666697
23.0,237.6,172.4,591.0,21,232.7
12.4,298.0,138.0,575.6,21,233.793333333333
32.9,288.3,172.7,530.1,21,234.69666666666697
0.0,400.6,86.4,537.0,21,235.85
31.9,383.3,129.7,479.1,21,236.95
20.4,291.3,246.7,465.6,21,238.24666666666698
24.8,410.8,153.2,435.2,21,239.926666666667
7.2,292.2,296.8,427.8,21,241.69333333333302
69.2,266.2,348.8,339.8,21,243.52333333333303
35.8,372.0,269.0,347.2,21,245.49666666666698
55.2,394.2,271.8,302.8,21,246.94
17.6,419.2,272.8,314.4,21,247.99333333333303
7.0,272.8,444.2,300.0,21,248.97
35.4,295.2,447.8,245.6,21,249.66333333333301
42.0,422.2,346.8,213.0,21,250.53333333333302
45.4,267.0,527.0,184.6,21,251.31
22.1,396.7,424.3,180.9,21,252.14
40.8,236.2,608.8,138.2,21,253.15
40.4,269.0,602.0,112.6,21,254.393333333333
31.3,239.5,657.5,95.7,21,256.226666666667
24.2,222.6,699.4,77.8,21,259.5
21.4,207.8,740.2,54.6,21,262.113333333333
40.6,67.4,906.6,9.4,21,264.18
25.0,0.0,999.0,0.0,21,266.32333333333304
0.0,26.0,0.0,998.0,31,203.53
4.0,47.2,4.8,968.0,31,206.22666666666697
17.9,37.3,39.7,929.1,31,211.27333333333303
6.4,96.6,6.4,914.6,31,213.99666666666698
2.6,76.4,52.6,892.4,31,215.47
0.0,155.0,0.0,869.0,31,216.91333333333301
2.1,98.9,81.1,841.9,31,218.296666666667
0.0,130.6,74.4,819.0,31,219.62666666666698
0.0,211.8,19.2,793.0,31,221.333333333333
0.9,196.3,60.7,766.1,31,223.33666666666699
3.7,196.1,85.9,738.3,31,225.62
2.9,227.7,80.3,713.1,31,227.64
28.9,213.9,119.1,662.1,31,229.206666666667
12.2,212.8,146.2,652.8,31,230.68666666666698
17.0,182.8,202.2,622.0,31,231.75666666666697
4.6,161.0,249.0,609.4,31,232.7
3.4,274.2,161.8,584.6,31,233.793333333333
11.5,278.9,182.1,551.5,31,234.69666666666697
7.6,318.6,168.4,529.4,31,235.85
39.9,184.9,328.1,471.1,31,236.95
16.4,271.2,266.8,469.6,31,238.24666666666698
3.7,276.5,287.5,456.3,31,239.926666666667
22.8,266.2,322.8,412.2,31,241.69333333333302
16.7,330.9,284.1,392.3,31,243.52333333333303
20.0,185.8,455.2,363.0,31,245.49666666666698
14.8,324.4,341.6,343.2,31,246.94
31.2,269.3,422.7,300.8,31,247.99333333333303
28.1,338.7,378.3,278.9,31,248.97
23.7,442.7,300.3,257.3,31,249.66333333333301
32.9,297.9,471.1,222.1,31,250.53333333333302
37.4,232.2,561.8,192.6,31,251.31
37.7,291.7,529.3,165.3,31,252.14
40.6,167.2,677.8,138.4,31,253.15
30.3,209.5,661.5,122.7,31,254.393333333333
31.6,308.4,588.6,95.4,31,256.226666666667
37.6,100.8,821.2,64.4,31,259.5
26.3,121.9,826.1,49.7,31,262.113333333333
19.8,135.4,838.6,30.2,31,264.18
15.2,85.8,913.2,9.8,31,266.32333333333304
0.0,26.0,0.0,998.0,41,203.53
0.0,52.0,0.0,972.0,41,206.22666666666697
3.2,64.2,12.8,943.8,41,211.27333333333303
4.3,70.1,32.9,916.7,41,213.99666666666698
7.5,96.5,32.5,887.5,41,215.47
2.4,117.4,37.6,866.6,41,216.91333333333301
4.4,46.8,133.2,839.6,41,218.296666666667
6.7,51.7,153.3,812.3,41,219.62666666666698
4.6,152.4,78.6,788.4,41,221.333333333333
6.5,109.1,147.9,760.5,41,223.33666666666699
20.1,147.3,134.7,721.9,41,225.62
7.1,177.5,130.5,708.9,41,227.64
7.3,214.7,118.3,683.7,41,229.206666666667
7.3,135.9,223.1,657.7,41,230.68666666666698
17.6,156.2,228.8,621.4,41,231.75666666666697
5.5,130.7,279.3,608.5,41,232.7
15.9,146.3,289.7,572.1,41,233.793333333333
15.0,233.6,227.4,548.0,41,234.69666666666697
12.0,169.8,317.2,525.0,41,235.85
21.5,248.1,264.9,489.5,41,236.95
13.0,187.0,351.0,473.0,41,238.24666666666698
13.1,209.1,354.9,446.9,41,239.926666666667
18.1,215.9,373.1,416.9,41,241.69333333333302
13.7,143.7,471.3,395.3,41,243.52333333333303
15.4,239.6,401.4,367.6,41,245.49666666666698
18.2,218.6,447.4,339.8,41,246.94
10.9,230.1,461.9,321.1,41,247.99333333333303
8.7,202.5,514.5,298.3,41,248.97
23.6,221.0,522.0,257.4,41,249.66333333333301
21.0,242.6,526.4,234.0,41,250.53333333333302
17.8,283.8,510.2,212.2,41,251.31
15.6,319.0,502.0,187.4,41,252.14
32.8,237.8,607.2,146.2,41,253.15
32.8,167.0,704.0,120.2,41,254.393333333333
21.0,162.6,734.4,106.0,41,256.226666666667
9.6,130.0,792.0,92.4,41,259.5
32.8,131.1,816.9,43.2,41,262.113333333333
24.6,114.2,859.8,25.4,41,264.18
22.7,13.7,985.3,2.3,41,266.32333333333304
3.8,23.4,2.6,994.2,51,203.53
6.0,26.0,26.0,966.0,51,206.22666666666697
3.7,27.9,49.1,943.3,51,211.27333333333303
2.8,73.8,29.2,918.2,51,213.99666666666698
7.2,92.2,36.8,887.8,51,215.47
8.2,78.4,76.6,860.8,51,216.91333333333301
14.5,55.3,124.7,829.5,51,218.296666666667
3.0,89.6,115.4,816.0,51,219.62666666666698
10.4,124.6,106.4,782.6,51,221.333333333333
2.9,99.9,157.1,764.1,51,223.33666666666699
6.4,166.0,116.0,735.6,51,225.62
15.6,101.2,206.8,700.4,51,227.64
30.5,130.7,202.3,660.5,51,229.206666666667
15.5,73.7,285.3,649.5,51,230.68666666666698
11.8,134.4,250.6,627.2,51,231.75666666666697
6.3,77.1,332.9,607.7,51,232.7
12.8,130.4,305.6,575.2,51,233.793333333333
3.2,121.8,339.2,559.8,51,234.69666666666697
8.9,116.7,370.3,528.1,51,235.85
17.7,113.1,399.9,493.3,51,236.95
12.7,134.7,403.3,473.3,51,238.24666666666698
5.8,181.0,383.0,454.2,51,239.926666666667
13.4,142.4,446.6,421.6,51,241.69333333333302
9.0,144.6,470.4,400.0,51,243.52333333333303
11.9,344.7,296.3,371.1,51,245.49666666666698
17.9,163.5,502.5,340.1,51,246.94
21.0,257.8,434.2,311.0,51,247.99333333333303
23.1,182.1,534.9,283.9,51,248.97
23.7,284.4,458.6,257.3,51,249.66333333333301
22.3,174.9,594.1,232.7,51,250.53333333333302
34.1,214.5,579.5,195.9,51,251.31
12.6,268.2,552.8,190.4,51,252.14
42.8,155.6,689.4,136.2,51,253.15
26.1,227.1,643.9,126.9,51,254.393333333333
24.8,148.0,749.0,102.2,51,256.226666666667
24.3,131.7,790.3,77.7,51,259.5
12.2,170.4,777.6,63.8,51,262.113333333333
22.6,86.2,887.8,27.4,51,264.18
16.3,40.3,958.7,8.7,51,266.32333333333304
0.0,26.0,0.0,998.0,61,203.53
4.8,27.6,24.4,967.2,61,206.22666666666697
2.4,53.8,23.2,944.6,61,211.27333333333303
0.0,57.4,45.6,921.0,61,213.99666666666698
5.3,57.5,71.5,889.7,61,215.47
4.3,72.9,82.1,864.7,61,216.91333333333301
5.4,44.6,135.4,838.6,61,218.296666666667
4.5,46.3,158.7,814.5,61,219.62666666666698
3.5,122.5,108.5,789.5,61,221.333333333333
1.9,79.7,177.3,765.1,61,223.33666666666699
6.9,208.9,73.1,735.1,61,225.62
5.5,115.9,192.1,710.5,61,227.64
9.5,136.9,196.1,681.5,61,229.206666666667
15.7,139.5,219.5,649.3,61,230.68666666666698
15.9,106.5,278.5,623.1,61,231.75666666666697
7.0,58.6,351.4,607.0,61,232.7
4.9,152.9,283.1,583.1,61,233.793333333333
6.3,102.5,358.5,556.7,61,234.69666666666697
3.8,167.6,319.4,533.2,61,235.85
13.5,142.8,370.2,497.5,61,236.95
8.0,200.4,337.6,478.0,61,238.24666666666698
4.6,140.2,423.8,455.4,61,239.926666666667
6.7,153.3,435.7,428.3,61,241.69333333333302
7.0,140.8,474.2,402.0,61,243.52333333333303
13.8,163.4,477.6,369.2,61,245.49666666666698
17.8,114.2,551.8,340.2,61,246.94
14.6,198.4,493.6,317.4,61,247.99333333333303
20.4,205.8,511.2,286.6,61,248.97
16.5,274.6,468.4,264.5,61,249.66333333333301
28.6,199.8,569.2,226.4,61,250.53333333333302
19.1,195.9,598.1,210.9,61,251.31
23.9,180.3,640.7,179.1,61,252.14
