FN,FP,TN,TP,sr,t
0.0,114.0,0.0,4439.0,1,13.161712663408801
0.0,228.0,0.0,4325.0,1,13.3019009572118
421.1,307.8,34.2,3789.9,1,13.4100699787362
409.7,410.4,45.6,3687.3,1,13.502753092236302
0.0,570.0,0.0,3983.0,1,13.585310859993301
0.0,683.0,0.0,3870.0,1,13.656660305674
375.6,717.3,79.7,3380.4,1,13.735652724356198
1092.6,637.7,273.3,2549.4,1,13.803859817649501
0.0,1025.0,0.0,3528.0,1,13.868760774471701
1024.2,797.3,341.7,2389.8,1,13.9298584757918
990.0,877.1,375.9,2310.0,1,13.9793948030038
1912.2,546.4,819.6,1274.8,1,14.032251164870901
921.9,1036.0,444.0,2151.1,1,14.087353831559
591.8,1275.2,318.8,2367.2,1,14.1357554046641
284.5,1537.2,170.8,2560.5,1,14.181506849053
1365.5,911.0,911.0,1365.5,1,14.233252060704999
523.4,1548.8,387.2,2093.6,1,14.2883841314639
250.4,1844.1,204.9,2253.6,1,14.3370638554921
1434.0,865.2,1297.8,956.0,1,14.3946865425751
1365.6,910.8,1366.2,910.4,1,14.440960814602402
648.6,1673.7,717.3,1513.4,1,14.4851959908869
1024.0,1252.5,1252.5,1024.0,1,14.5248682442103
580.5,1832.6,785.4,1354.5,1,14.582000293012
1638.9,273.2,2458.8,182.1,1,14.6307274187917
853.5,1423.0,1423.0,853.5,1,14.6787817819126
1274.4,592.0,2368.0,318.6,1,14.745784301286301
1479.0,0.0,3074.0,0.0,1,14.807564681287
1228.5,318.8,2869.2,136.5,1,14.8784780444677
876.4,990.3,2310.7,375.6,1,14.962337800647099
1024.2,341.5,3073.5,113.8,1,15.0421285922947
921.6,352.9,3176.1,102.4,1,15.131159980365801
637.0,1092.9,2550.1,273.0,1,15.222434323308498
636.8,751.4,3005.6,159.2,1,15.306174550999
477.4,1161.3,2709.7,204.6,1,15.402332552061699
398.3,1195.2,2788.8,170.7,1,15.5099957880809
409.5,409.8,3688.2,45.5,1,15.637958571596501
341.0,0.0,4212.0,0.0,1,15.788930159674802
181.6,865.2,3460.8,45.4,1,15.957013968601599
113.0,0.0,4440.0,0.0,1,16.1266534040717
162.2,105.0,9.0,4276.8,46,13.161712663408801
523.9,192.4,35.6,3801.1,46,13.3019009572118
401.9,300.3,41.7,3809.1,46,13.4100699787362
517.9,377.5,78.5,3579.1,46,13.502753092236302
589.2,455.7,114.3,3393.8,46,13.585310859993301
946.9,470.1,212.9,2923.1,46,13.656660305674
1126.0,494.2,302.8,2630.0,46,13.735652724356198
1013.0,595.5,315.5,2629.0,46,13.803859817649501
1023.6,658.6,366.4,2504.4,46,13.868760774471701
1044.9,711.6,427.4,2369.1,46,13.9298584757918
953.5,809.0,444.0,2346.5,46,13.9793948030038
1175.6,765.6,600.4,2011.4,46,14.032251164870901
1092.9,849.0,631.0,1980.1,46,14.087353831559
958.9,960.9,633.1,2000.1,46,14.1357554046641
1163.0,859.3,848.7,1682.0,46,14.181506849053
1161.3,889.5,932.5,1569.7,46,14.233252060704999
1124.7,906.3,1029.7,1492.3,46,14.2883841314639
1137.7,815.6,1233.4,1366.3,46,14.3370638554921
1226.5,813.6,1349.4,1163.5,46,14.3946865425751
1136.4,959.1,1317.9,1139.6,46,14.440960814602402
1176.8,877.0,1514.0,985.2,46,14.4851959908869
1232.6,724.5,1780.5,815.4,46,14.5248682442103
990.0,971.3,1646.7,945.0,46,14.582000293012
