FN,FP,TN,TP,sr,t
0.0,114.0,0.0,4439.0,1,13.161712663408801
0.0,228.0,0.0,4325.0,1,13.3019009572118
0.0,342.0,0.0,4211.0,1,13.4100699787362
0.0,456.0,0.0,4097.0,1,13.502753092236302
0.0,570.0,0.0,3983.0,1,13.585310859993301
0.0,683.0,0.0,3870.0,1,13.656660305674
0.0,797.0,0.0,3756.0,1,13.735652724356198
364.2,819.9,91.1,3277.8,1,13.803859817649501
0.0,1025.0,0.0,3528.0,1,13.868760774471701
0.0,1139.0,0.0,3414.0,1,13.9298584757918
0.0,1253.0,0.0,3300.0,1,13.9793948030038
0.0,1366.0,0.0,3187.0,1,14.032251164870901
0.0,1480.0,0.0,3073.0,1,14.087353831559
0.0,1594.0,0.0,2959.0,1,14.1357554046641
0.0,1708.0,0.0,2845.0,1,14.181506849053
0.0,1822.0,0.0,2731.0,1,14.233252060704999
0.0,1936.0,0.0,2617.0,1,14.2883841314639
0.0,2049.0,0.0,2504.0,1,14.3370638554921
0.0,2163.0,0.0,2390.0,1,14.3946865425751
0.0,2277.0,0.0,2276.0,1,14.440960814602402
216.2,2151.9,239.1,1945.8,1,14.4851959908869
0.0,2505.0,0.0,2048.0,1,14.5248682442103
774.0,1570.8,1047.2,1161.0,1,14.582000293012
364.2,2185.6,546.4,1456.8,1,14.6307274187917
0.0,2846.0,0.0,1707.0,1,14.6787817819126
477.9,2072.0,888.0,1115.1,1,14.745784301286301
147.9,2766.6,307.4,1331.1,1,14.807564681287
0.0,3188.0,0.0,1365.0,1,14.8784780444677
375.6,2310.7,990.3,876.4,1,14.962337800647099
341.4,2390.5,1024.5,796.6,1,15.0421285922947
819.2,705.8,2823.2,204.8,1,15.131159980365801
364.0,2185.8,1457.2,546.0,1,15.222434323308498
0.0,3757.0,0.0,796.0,1,15.306174550999
341.0,1935.5,1935.5,341.0,1,15.402332552061699
569.0,0.0,3984.0,0.0,1,15.5099957880809
455.0,0.0,4098.0,0.0,1,15.637958571596501
341.0,0.0,4212.0,0.0,1,15.788930159674802
227.0,0.0,4326.0,0.0,1,15.957013968601599
45.2,2664.0,1776.0,67.8,1,16.1266534040717
0.0,114.0,0.0,4439.0,46,13.161712663408801
0.0,228.0,0.0,4325.0,46,13.3019009572118
0.0,342.0,0.0,4211.0,46,13.4100699787362
17.7,453.7,2.3,4079.3,46,13.502753092236302
41.0,560.7,9.3,3942.0,46,13.585310859993301
112.6,643.9,39.1,3757.4,46,13.656660305674
109.2,772.4,24.6,3646.8,46,13.735652724356198
55.6,889.6,21.4,3586.4,46,13.803859817649501
112.2,980.0,45.0,3415.8,46,13.868760774471701
104.4,1098.3,40.7,3309.6,46,13.9298584757918
65.0,1197.6,55.4,3235.0,46,13.9793948030038
89.5,1297.4,68.6,3097.5,46,14.032251164870901
65.1,1437.2,42.8,3007.9,46,14.087353831559
179.7,1460.0,134.0,2779.3,46,14.1357554046641
222.9,1507.9,200.1,2622.1,46,14.181506849053
157.4,1680.1,141.9,2573.6,46,14.233252060704999
149.9,1709.3,226.7,2467.1,46,14.2883841314639
161.6,1820.1,228.9,2342.4,46,14.3370638554921
233.3,1911.3,251.7,2156.7,46,14.3946865425751
224.1,1957.2,319.8,2051.9,46,14.440960814602402
235.0,1937.8,453.2,1927.0,46,14.4851959908869
202.9,2069.8,435.2,1845.1,46,14.5248682442103
195.2,2151.9,466.1,1739.8,46,14.582000293012
